county_name,age_group,sex,adjustment
Ramsey,10-14,male,-16.39047236780853
Ransom,10-14,male,-7.7554918033045235
Renville,10-14,male,-3.038233902325483
Richland,10-14,male,-22.107149315605163
Rolette,10-14,male,-26.144802264748236
Sargent,10-14,male,-5.03707199596067
Sheridan,10-14,male,-1.9188845698897792
Sioux,10-14,male,-7.355724184577485
Slope,10-14,male,-1.039395808690297
Stark,10-14,male,-53.568860909422995
Steele,10-14,male,-2.5984895217257424
Stutsman,10-14,male,-23.866126838004124
Towner,10-14,male,-3.4779782829252244
Traill,10-14,male,-11.593260943084081
Walsh,10-14,male,-14.111796941064416
Ward,10-14,male,-101.8208124897764
Wells,10-14,male,-5.077048757833373
Williams,10-14,male,-68.20035575483256
Adams,15-19,male,-2.197106268169999
Barnes,15-19,male,-11.904321234811993
Benson,15-19,male,-12.383689875139993
Billings,15-19,male,-1.0785794407379994
Bottineau,15-19,male,-8.908267232761995
Bowman,15-19,male,-4.554002083115997
Burke,15-19,male,-3.795001735929998
Burleigh,15-19,male,-131.66658654342393
Cass,15-19,male,-232.61363271916187
Cavalier,15-19,male,-4.154528216175997
Dickey,15-19,male,-7.869635178717995
Divide,15-19,male,-2.4767379750279988
Dunn,15-19,male,-6.032055390793996
Eddy,15-19,male,-3.635212189153998
Emmons,15-19,male,-4.673844243197998
Foster,15-19,male,-4.593949469809997
Golden Valley,15-19,male,-2.716422295191998
Grand Forks,15-19,male,-83.25035387029595
Grant,15-19,male,-2.3968432016399985
Griggs,15-19,male,-2.916159228661998
Hettinger,15-19,male,-2.7563696818859986
Kidder,15-19,male,-2.7963170685799983
LaMoure,15-19,male,-5.113265496831997
Logan,15-19,male,-2.7563696818859986
McHenry,15-19,male,-6.8709505113679965
McIntosh,15-19,male,-3.3555804822959985
McKenzie,15-19,male,-24.168168949869987
McLean,15-19,male,-12.623374195303994
Mercer,15-19,male,-11.185268274319993
Morton,15-19,male,-43.42280933637798
Mountrail,15-19,male,-15.89905990421199
Nelson,15-19,male,-2.2370536548639985
Oliver,15-19,male,-2.7563696818859986
Pembina,15-19,male,-9.747162353335995
Pierce,15-19,male,-5.432844590383996
Ramsey,15-19,male,-15.539533423965992
Ransom,15-19,male,-8.428898592433994
Renville,15-19,male,-3.1558435488259984
Richland,15-19,male,-21.411799267983987
Rolette,15-19,male,-24.927169297055986
Sargent,15-19,male,-5.313002430301997
Sheridan,15-19,male,-1.1984216008199993
Sioux,15-19,male,-8.988162006149995
Slope,15-19,male,-0.9187898939619994
Stark,15-19,male,-45.97944208479397
Steele,15-19,male,-1.877527174617999
Stutsman,15-19,male,-24.847274523667984
Towner,15-19,male,-3.0759487754379986
Traill,15-19,male,-10.506162700521994
Walsh,15-19,male,-14.421006596533992
Ward,15-19,male,-92.63798974338596
Wells,15-19,male,-5.033370723443997
Williams,15-19,male,-56.36576262523397
Adams,20-24,male,-2.595259867226044
Barnes,20-24,male,-16.410027775844675
Benson,20-24,male,-11.25943511627299
Billings,20-24,male,-0.8384685724884142
Bottineau,20-24,male,-8.26490450024294
Bowman,20-24,male,-3.4337284397144576
Burke,20-24,male,-3.234093065312454
Burleigh,20-24,male,-131.2802222067574
Cass,20-24,male,-239.32288683312163
Cavalier,20-24,male,-4.072561637800868
Dickey,20-24,male,-6.5081132055053095
Divide,20-24,male,-2.9146764662692495
Dunn,20-24,male,-4.791248985648081
Eddy,20-24,male,-2.7549681667476467
Emmons,20-24,male,-3.8329991885184644
Foster,20-24,male,-3.7930721136380643
Golden Valley,20-24,male,-3.1143118406712524
Grand Forks,20-24,male,-124.3329111775677
Grant,20-24,male,-1.7967183696180302
Griggs,20-24,male,-2.1560620435416364
Hettinger,20-24,male,-2.635186942106444
Kidder,20-24,male,-2.5154057174652427
LaMoure,20-24,male,-4.5916136112460775
Logan,20-24,male,-2.2359161933024376
McHenry,20-24,male,-6.268550756222906
McIntosh,20-24,male,-2.5154057174652427
McKenzie,20-24,male,-18.725798118907914
McLean,20-24,male,-11.738560014837796
Mercer,20-24,male,-10.900091442349384
Morton,20-24,male,-38.849043858629855
Mountrail,20-24,male,-12.856518111489018
