2026-03-01 16:08:49,355 | INFO | __main__ | Creating race composition summary...
2026-03-01 16:08:49,424 | INFO | __main__ | Creating growth rates summary...
2026-03-01 16:08:49,432 | INFO | __main__ | Creating dependency ratios summary...
2026-03-01 16:08:49,457 | INFO | __main__ | Creating summaries for county level (53 geographies)
2026-03-01 16:08:49,811 | INFO | __main__ | Creating age distribution summary...
2026-03-01 16:08:53,543 | INFO | __main__ | Creating sex ratio summary...
2026-03-01 16:08:55,000 | INFO | __main__ | Creating race composition summary...
2026-03-01 16:08:58,030 | INFO | __main__ | Creating growth rates summary...
2026-03-01 16:08:58,380 | INFO | __main__ | Creating dependency ratios summary...
2026-03-01 16:09:00,034 | INFO | __main__ | Creating summaries for place level (90 geographies)
2026-03-01 16:09:00,290 | INFO | __main__ | Creating age distribution summary...
2026-03-01 16:09:00,292 | WARNING | __main__ | Could not create summary age_distribution_by_year: 'age'
2026-03-01 16:09:00,292 | INFO | __main__ | Creating sex ratio summary...
2026-03-01 16:09:00,295 | WARNING | __main__ | Could not create summary sex_ratio_by_year: 'sex'
2026-03-01 16:09:00,295 | INFO | __main__ | Creating race composition summary...
2026-03-01 16:09:00,297 | WARNING | __main__ | Could not create summary race_composition_by_year: 'race'
2026-03-01 16:09:00,297 | INFO | __main__ | Creating growth rates summary...
2026-03-01 16:09:00,510 | INFO | __main__ | Creating dependency ratios summary...
2026-03-01 16:09:00,511 | WARNING | __main__ | Could not create summary dependency_ratios: 'age'
2026-03-01 16:09:00,511 | INFO | __main__ | Created 14 summary tables
2026-03-01 16:09:00,512 | INFO | __main__ | Creating summary tables for scenario: baseline
2026-03-01 16:09:00,512 | INFO | __main__ | Creating summaries for state level (1 geographies)
2026-03-01 16:09:00,518 | INFO | __main__ | Creating age distribution summary...
2026-03-01 16:09:00,585 | INFO | __main__ | Creating sex ratio summary...
2026-03-01 16:09:00,612 | INFO | __main__ | Creating race composition summary...
2026-03-01 16:09:00,663 | INFO | __main__ | Creating growth rates summary...
2026-03-01 16:09:00,670 | INFO | __main__ | Creating dependency ratios summary...
2026-03-01 16:09:00,696 | INFO | __main__ | Creating summaries for county level (53 geographies)
2026-03-01 16:09:01,053 | INFO | __main__ | Creating age distribution summary...
2026-03-01 16:09:04,825 | INFO | __main__ | Creating sex ratio summary...
2026-03-01 16:09:06,224 | INFO | __main__ | Creating race composition summary...
2026-03-01 16:09:09,163 | INFO | __main__ | Creating growth rates summary...
2026-03-01 16:09:09,532 | INFO | __main__ | Creating dependency ratios summary...
2026-03-01 16:09:11,120 | INFO | __main__ | Creating summaries for place level (90 geographies)
2026-03-01 16:09:11,326 | INFO | __main__ | Creating age distribution summary...
2026-03-01 16:09:11,329 | WARNING | __main__ | Could not create summary age_distribution_by_year: 'age'
2026-03-01 16:09:11,329 | INFO | __main__ | Creating sex ratio summary...
2026-03-01 16:09:11,331 | WARNING | __main__ | Could not create summary sex_ratio_by_year: 'sex'
2026-03-01 16:09:11,331 | INFO | __main__ | Creating race composition summary...
2026-03-01 16:09:11,333 | WARNING | __main__ | Could not create summary race_composition_by_year: 'race'
2026-03-01 16:09:11,333 | INFO | __main__ | Creating growth rates summary...
2026-03-01 16:09:11,526 | INFO | __main__ | Creating dependency ratios summary...
2026-03-01 16:09:11,528 | WARNING | __main__ | Could not create summary dependency_ratios: 'age'
2026-03-01 16:09:11,528 | INFO | __main__ | Created 14 summary tables
2026-03-01 16:09:11,528 | INFO | __main__ | Creating summary tables for scenario: CBO
2026-03-01 16:09:11,528 | INFO | __main__ | Created 0 summary tables
2026-03-01 16:09:11,528 | WARNING | __main__ | Skipping place artifacts for methodology_comparison: source summary not found (data/projections/methodology_comparison/place/places_summary.csv)
2026-03-01 16:09:12,265 | INFO | __main__ | Exported place artifacts for restricted_growth: summary=data/exports/restricted_growth/place/places_summary.csv workbook=/home/nhaarstad/workspace/demography/cohort_projections/data/exports/nd_projections_restricted_growth_places_20260301.xlsx
2026-03-01 16:09:12,921 | INFO | __main__ | Exported place artifacts for high_growth: summary=data/exports/high_growth/place/places_summary.csv workbook=/home/nhaarstad/workspace/demography/cohort_projections/data/exports/nd_projections_high_growth_places_20260301.xlsx
2026-03-01 16:09:13,591 | INFO | __main__ | Exported place artifacts for baseline: summary=data/exports/baseline/place/places_summary.csv workbook=/home/nhaarstad/workspace/demography/cohort_projections/data/exports/nd_projections_baseline_places_20260301.xlsx
2026-03-01 16:09:13,591 | WARNING | __main__ | Skipping place artifacts for CBO: source summary not found (data/projections/CBO/place/places_summary.csv)
2026-03-01 16:09:13,591 | INFO | __main__ | Generating data dictionary...
2026-03-01 16:09:13,592 | INFO | __main__ | Data dictionary generated
2026-03-01 16:09:13,592 | INFO | __main__ | Creating distribution packages...
2026-03-01 16:09:13,735 | INFO | __main__ | Created package: nd_projections_state_20260301.zip
2026-03-01 16:09:24,493 | INFO | __main__ | Created package: nd_projections_county_20260301.zip
