year,population,male_population,female_population,pop_0-4,pop_5-9,pop_10-14,pop_15-19,pop_20-24,pop_25-29,pop_30-34,pop_35-39,pop_40-44,pop_45-49,pop_50-54,pop_55-59,pop_60-64,pop_65-69,pop_70-74,pop_75-79,pop_80-84,pop_85+,period_births,period_deaths,period_migration,natural_change
2020,779094.0,398069.0,381025.0,52366.0,52879.0,50284.0,50616.0,59933.0,56990.0,56876.0,53616.0,44299.0,40007.0,40657.0,47902.0,49249.0,41509.0,30075.0,20304.0,14469.0,17063.0,,,,
2025,798392.2573223943,400093.6494532877,398298.6078691066,53197.68795599918,51584.8521013987,52453.36623800102,50913.933107104895,52808.33095965099,57213.48270111056,56445.42673940629,55751.290320344335,52438.420582204926,43213.396268715944,38821.10044191958,39198.27664563722,45480.65614232628,46031.72609862678,38036.37209099615,26656.06465097338,16924.29984570622,21223.57443227181,53572.40203051848,-27901.55666214242,5833.467927018064,81473.9586926609
2030,826095.5416357538,407597.7305328552,418497.8111028987,53814.753324471974,53671.35821457872,52595.00316641315,56782.9759935891,58863.42960186288,48934.03629469414,57795.22820400195,56276.03293530714,55596.12470051458,52083.028305969405,42575.0879800199,37622.49918861569,36866.99908778192,41699.63233038169,41272.82395063512,32908.23146382051,21477.6717673509,25260.625125745006,54193.81388635471,-25144.368682334018,17210.305485318175,79338.18256868873
2035,855405.3176018903,416441.0222011534,438964.29540073685,54717.4193347082,54228.601103681554,54912.238900679,57060.393023283556,66981.52185635357,55033.593911377095,50278.51710796152,57341.0620764608,56289.920673284476,55500.38234235481,51597.73915840282,41368.95851366554,35359.00632433382,33637.73016236238,37330.640295310026,35831.245838115865,26662.5166511809,31273.83032837426,55102.83809882908,-22543.04488300319,21132.5202956624,77645.88298183227
2040,881981.5982880082,424295.7824090953,457685.81587891304,57027.85300852817,55022.55960191197,55045.75853491259,58845.715810150075,65682.68323173882,63067.26236721036,56258.10625508877,50060.635877720066,56881.66377177766,56098.694037572626,55000.800855723195,50280.40197114545,39025.20037721412,32372.765822647038,30186.159267458628,32620.896648643276,29432.370457945322,39072.07039062018,57429.546014051026,-20128.57845955253,19405.723775511076,77558.12447360356
2045,922327.1683152686,440669.38704945927,481657.7812658094,61426.671508292085,58444.182811091196,56844.314425893695,61282.00290703984,72346.2785016388,61909.44701197472,65703.06084633865,56863.68261706367,50459.59874333632,56956.825001205485,56230.521831088736,53954.596633169924,47538.90616554273,35506.16942846101,28703.678337968904,25970.718070169853,26339.603105286933,45846.91036970614,61859.348928109044,-19449.24182628494,31765.964923976957,81308.59075439398
2050,971054.7174605175,462617.06870850973,508437.64875200775,66124.74697425652,63289.27506596508,60886.85452016056,62922.80843836997,76440.02298273747,68481.01580491943,65710.76925436407,66703.50342797177,57736.76655739459,50834.069517090764,56922.715257410004,55289.01605970881,51099.8861796907,43433.32848593086,31558.55299494505,24711.216776937155,21021.847203443427,47888.32195922133,66590.51671571172,-22285.018788788708,37012.91011326111,88875.53550450044
