county,period_start,period_end,migration
Billings,2035,2040,37.93172756321318
Bottineau,2035,2040,-54.461087408881184
Bowman,2035,2040,-16.817343319791338
Burke,2035,2040,42.10042928598028
Burleigh,2035,2040,2670.3521223177086
Cass,2035,2040,6613.4502622248965
Cavalier,2035,2040,-76.99276279596896
Dickey,2035,2040,-87.87899793444741
Divide,2035,2040,60.70275405872039
Dunn,2035,2040,88.66637491780868
Eddy,2035,2040,-25.273740236736106
Emmons,2035,2040,-29.654483143806644
Foster,2035,2040,-18.443938086579205
Golden Valley,2035,2040,-2.281082111281769
Grand Forks,2035,2040,220.46601473372436
Grant,2035,2040,-18.65063858634816
Griggs,2035,2040,6.353023776493537
Hettinger,2035,2040,16.03312389419522
Kidder,2035,2040,-28.60899992380896
LaMoure,2035,2040,-8.254190709273416
Logan,2035,2040,-0.07621352530851633
McHenry,2035,2040,-38.700596524976575
McIntosh,2035,2040,-13.97016254803494
McKenzie,2035,2040,3691.271869200072
McLean,2035,2040,77.05745408016814
Mercer,2035,2040,9.641035686927324
Morton,2035,2040,668.108082268448
Mountrail,2035,2040,459.43281437880955
Nelson,2035,2040,-33.64793803635445
Oliver,2035,2040,-11.319801615076642
Pembina,2035,2040,-143.9385584873061
Pierce,2035,2040,-32.23196240320448
Ramsey,2035,2040,-152.74254264194587
Ransom,2035,2040,36.85465607072038
Renville,2035,2040,-21.043218298191814
Richland,2035,2040,-218.82114983640662
Rolette,2035,2040,-575.6048821677346
Sargent,2035,2040,-32.83400046785508
Sheridan,2035,2040,-7.244883466463421
Sioux,2035,2040,-191.91722522358572
Slope,2035,2040,7.307477021706735
Stark,2035,2040,1592.3324772029855
Steele,2035,2040,-44.778994511577096
Stutsman,2035,2040,-162.89676925793498
Towner,2035,2040,-35.767404943473466
Traill,2035,2040,-43.35918389862104
Walsh,2035,2040,-211.39530081260347
Ward,2035,2040,46.178895662617975
Wells,2035,2040,-51.89755390965625
Williams,2035,2040,5863.82126313792
Adams,2040,2045,-21.306397549967386
Barnes,2040,2045,-84.5021531791093
Benson,2040,2045,-413.44506735915184
