county,age_group,sex,population,year
Cass,15-19,Male,5994.0,2020
Cavalier,15-19,Male,102.0,2020
Dickey,15-19,Male,163.0,2020
Divide,15-19,Male,73.0,2020
Dunn,15-19,Male,120.0,2020
Eddy,15-19,Male,69.0,2020
Emmons,15-19,Male,96.0,2020
Foster,15-19,Male,95.0,2020
Golden Valley,15-19,Male,78.0,2020
Grand Forks,15-19,Male,3114.0,2020
Grant,15-19,Male,45.0,2020
Griggs,15-19,Male,54.0,2020
Hettinger,15-19,Male,66.0,2020
Kidder,15-19,Male,63.0,2020
LaMoure,15-19,Male,115.0,2020
Logan,15-19,Male,56.0,2020
McHenry,15-19,Male,157.0,2020
McIntosh,15-19,Male,63.0,2020
McKenzie,15-19,Male,469.0,2020
McLean,15-19,Male,294.0,2020
Mercer,15-19,Male,273.0,2020
Morton,15-19,Male,973.0,2020
Mountrail,15-19,Male,322.0,2020
Nelson,15-19,Male,81.0,2020
Oliver,15-19,Male,51.0,2020
Pembina,15-19,Male,191.0,2020
Pierce,15-19,Male,105.0,2020
Ramsey,15-19,Male,349.0,2020
Ransom,15-19,Male,205.0,2020
Renville,15-19,Male,61.0,2020
Richland,15-19,Male,829.0,2020
Rolette,15-19,Male,513.0,2020
Sargent,15-19,Male,101.0,2020
Sheridan,15-19,Male,27.0,2020
Sioux,15-19,Male,200.0,2020
Slope,15-19,Male,20.0,2020
Stark,15-19,Male,1060.0,2020
Steele,15-19,Male,55.0,2020
Stutsman,15-19,Male,751.0,2020
Towner,15-19,Male,46.0,2020
Traill,15-19,Male,297.0,2020
Walsh,15-19,Male,292.0,2020
Ward,15-19,Male,2255.0,2020
Wells,15-19,Male,93.0,2020
Williams,15-19,Male,1212.0,2020
Adams,20-24,Male,33.0,2020
Barnes,20-24,Male,439.0,2020
Benson,20-24,Male,138.0,2020
Billings,20-24,Male,22.0,2020
Bottineau,20-24,Male,150.0,2020
Bowman,20-24,Male,47.0,2020
Burke,20-24,Male,48.0,2020
Burleigh,20-24,Male,3237.0,2020
Cass,20-24,Male,9515.0,2020
Cavalier,20-24,Male,87.0,2020
Dickey,20-24,Male,155.0,2020
Divide,20-24,Male,34.0,2020
Dunn,20-24,Male,98.0,2020
Eddy,20-24,Male,52.0,2020
Emmons,20-24,Male,59.0,2020
Foster,20-24,Male,66.0,2020
Golden Valley,20-24,Male,41.0,2020
Grand Forks,20-24,Male,5220.0,2020
Grant,20-24,Male,40.0,2020
Griggs,20-24,Male,54.0,2020
Hettinger,20-24,Male,33.0,2020
Kidder,20-24,Male,62.0,2020
LaMoure,20-24,Male,81.0,2020
Logan,20-24,Male,50.0,2020
McHenry,20-24,Male,107.0,2020
McIntosh,20-24,Male,53.0,2020
McKenzie,20-24,Male,501.0,2020
McLean,20-24,Male,159.0,2020
Mercer,20-24,Male,161.0,2020
Morton,20-24,Male,1022.0,2020
Mountrail,20-24,Male,293.0,2020
Nelson,20-24,Male,56.0,2020
Oliver,20-24,Male,41.0,2020
Pembina,20-24,Male,134.0,2020
Pierce,20-24,Male,90.0,2020
Ramsey,20-24,Male,342.0,2020
Ransom,20-24,Male,131.0,2020
Renville,20-24,Male,35.0,2020
Richland,20-24,Male,600.0,2020
Rolette,20-24,Male,292.0,2020
Sargent,20-24,Male,113.0,2020
Sheridan,20-24,Male,20.0,2020
Sioux,20-24,Male,109.0,2020
Slope,20-24,Male,12.0,2020
Stark,20-24,Male,1205.0,2020
Steele,20-24,Male,29.0,2020
Stutsman,20-24,Male,837.0,2020
Towner,20-24,Male,26.0,2020
Traill,20-24,Male,294.0,2020
Walsh,20-24,Male,262.0,2020
Ward,20-24,Male,3572.0,2020
Wells,20-24,Male,72.0,2020
Williams,20-24,Male,1599.0,2020
Adams,25-29,Male,35.0,2020
Barnes,25-29,Male,294.0,2020
Benson,25-29,Male,167.0,2020
Billings,25-29,Male,33.0,2020
Bottineau,25-29,Male,164.0,2020
Bowman,25-29,Male,82.0,2020
Burke,25-29,Male,69.0,2020
Burleigh,25-29,Male,3386.0,2020
Cass,25-29,Male,8166.0,2020
Cavalier,25-29,Male,87.0,2020
Dickey,25-29,Male,117.0,2020
Divide,25-29,Male,55.0,2020
Dunn,25-29,Male,125.0,2020
Eddy,25-29,Male,77.0,2020
Emmons,25-29,Male,76.0,2020
Foster,25-29,Male,101.0,2020
Golden Valley,25-29,Male,44.0,2020
Grand Forks,25-29,Male,3317.0,2020
Grant,25-29,Male,50.0,2020
Griggs,25-29,Male,66.0,2020
Hettinger,25-29,Male,63.0,2020
Kidder,25-29,Male,66.0,2020
LaMoure,25-29,Male,92.0,2020
Logan,25-29,Male,34.0,2020
McHenry,25-29,Male,113.0,2020
McIntosh,25-29,Male,63.0,2020
