county,age_group,sex,population,year
Sargent,70-74,Female,103.0,2020
Sheridan,70-74,Female,35.0,2020
Sioux,70-74,Female,47.0,2020
Slope,70-74,Female,15.0,2020
Stark,70-74,Female,525.0,2020
Steele,70-74,Female,52.0,2020
Stutsman,70-74,Female,539.0,2020
Towner,70-74,Female,55.0,2020
Traill,70-74,Female,178.0,2020
Walsh,70-74,Female,273.0,2020
Ward,70-74,Female,1104.0,2020
Wells,70-74,Female,155.0,2020
Williams,70-74,Female,399.0,2020
Adams,75-79,Female,54.0,2020
Barnes,75-79,Female,222.0,2020
Benson,75-79,Female,64.0,2020
Billings,75-79,Female,16.0,2020
Bottineau,75-79,Female,132.0,2020
Bowman,75-79,Female,62.0,2020
Burke,75-79,Female,30.0,2020
Burleigh,75-79,Female,1492.0,2020
Cass,75-79,Female,1959.0,2020
Cavalier,75-79,Female,91.0,2020
Dickey,75-79,Female,119.0,2020
Divide,75-79,Female,41.0,2020
Dunn,75-79,Female,57.0,2020
Eddy,75-79,Female,44.0,2020
Emmons,75-79,Female,84.0,2020
Foster,75-79,Female,63.0,2020
Golden Valley,75-79,Female,46.0,2020
Grand Forks,75-79,Female,856.0,2020
Grant,75-79,Female,61.0,2020
Griggs,75-79,Female,69.0,2020
Hettinger,75-79,Female,57.0,2020
Kidder,75-79,Female,52.0,2020
LaMoure,75-79,Female,88.0,2020
Logan,75-79,Female,64.0,2020
McHenry,75-79,Female,94.0,2020
McIntosh,75-79,Female,76.0,2020
McKenzie,75-79,Female,120.0,2020
McLean,75-79,Female,209.0,2020
Mercer,75-79,Female,138.0,2020
Morton,75-79,Female,505.0,2020
Mountrail,75-79,Female,90.0,2020
Nelson,75-79,Female,79.0,2020
Oliver,75-79,Female,25.0,2020
Pembina,75-79,Female,123.0,2020
Pierce,75-79,Female,103.0,2020
Ramsey,75-79,Female,236.0,2020
Ransom,75-79,Female,103.0,2020
Renville,75-79,Female,36.0,2020
Richland,75-79,Female,255.0,2020
Rolette,75-79,Female,140.0,2020
Sargent,75-79,Female,76.0,2020
Sheridan,75-79,Female,38.0,2020
Sioux,75-79,Female,30.0,2020
Slope,75-79,Female,5.0,2020
Stark,75-79,Female,405.0,2020
Steele,75-79,Female,26.0,2020
Stutsman,75-79,Female,382.0,2020
Towner,75-79,Female,43.0,2020
Traill,75-79,Female,161.0,2020
Walsh,75-79,Female,178.0,2020
Ward,75-79,Female,872.0,2020
Wells,75-79,Female,106.0,2020
Williams,75-79,Female,279.0,2020
Adams,80-84,Female,37.0,2020
Barnes,80-84,Female,172.0,2020
Benson,80-84,Female,59.0,2020
Billings,80-84,Female,10.0,2020
Bottineau,80-84,Female,90.0,2020
Bowman,80-84,Female,47.0,2020
Burke,80-84,Female,31.0,2020
Burleigh,80-84,Female,1175.0,2020
Cass,80-84,Female,1492.0,2020
Cavalier,80-84,Female,76.0,2020
Dickey,80-84,Female,76.0,2020
Divide,80-84,Female,26.0,2020
Dunn,80-84,Female,49.0,2020
Eddy,80-84,Female,51.0,2020
Emmons,80-84,Female,76.0,2020
Foster,80-84,Female,57.0,2020
Golden Valley,80-84,Female,21.0,2020
Grand Forks,80-84,Female,696.0,2020
Grant,80-84,Female,50.0,2020
Griggs,80-84,Female,31.0,2020
Hettinger,80-84,Female,35.0,2020
Kidder,80-84,Female,30.0,2020
LaMoure,80-84,Female,84.0,2020
Logan,80-84,Female,36.0,2020
McHenry,80-84,Female,79.0,2020
McIntosh,80-84,Female,71.0,2020
McKenzie,80-84,Female,69.0,2020
McLean,80-84,Female,128.0,2020
Mercer,80-84,Female,110.0,2020
Morton,80-84,Female,362.0,2020
Mountrail,80-84,Female,66.0,2020
Nelson,80-84,Female,65.0,2020
Oliver,80-84,Female,21.0,2020
Pembina,80-84,Female,121.0,2020
Pierce,80-84,Female,69.0,2020
Ramsey,80-84,Female,161.0,2020
Ransom,80-84,Female,62.0,2020
Renville,80-84,Female,36.0,2020
Richland,80-84,Female,207.0,2020
Rolette,80-84,Female,111.0,2020
Sargent,80-84,Female,42.0,2020
Sheridan,80-84,Female,29.0,2020
Sioux,80-84,Female,21.0,2020
Slope,80-84,Female,11.0,2020
Stark,80-84,Female,322.0,2020
Steele,80-84,Female,27.0,2020
Stutsman,80-84,Female,289.0,2020
Towner,80-84,Female,34.0,2020
Traill,80-84,Female,96.0,2020
Walsh,80-84,Female,175.0,2020
Ward,80-84,Female,668.0,2020
Wells,80-84,Female,78.0,2020
Williams,80-84,Female,244.0,2020
Adams,85+,Female,62.0,2020
Barnes,85+,Female,237.0,2020
Benson,85+,Female,52.0,2020
Billings,85+,Female,4.0,2020
Bottineau,85+,Female,127.0,2020
Bowman,85+,Female,54.0,2020
Burke,85+,Female,39.0,2020
Burleigh,85+,Female,1557.0,2020
Cass,85+,Female,1874.0,2020
Cavalier,85+,Female,90.0,2020
Dickey,85+,Female,99.0,2020
Divide,85+,Female,47.0,2020
Dunn,85+,Female,54.0,2020
Eddy,85+,Female,69.0,2020
Emmons,85+,Female,85.0,2020
Foster,85+,Female,83.0,2020
Golden Valley,85+,Female,29.0,2020
Grand Forks,85+,Female,859.0,2020
Grant,85+,Female,60.0,2020
Griggs,85+,Female,73.0,2020
Hettinger,85+,Female,50.0,2020
Kidder,85+,Female,29.0,2020
LaMoure,85+,Female,105.0,2020
Logan,85+,Female,48.0,2020
McHenry,85+,Female,103.0,2020
McIntosh,85+,Female,138.0,2020
McKenzie,85+,Female,75.0,2020
McLean,85+,Female,151.0,2020
Mercer,85+,Female,135.0,2020
Morton,85+,Female,481.0,2020
Mountrail,85+,Female,85.0,2020
Nelson,85+,Female,95.0,2020
Oliver,85+,Female,17.0,2020
Pembina,85+,Female,139.0,2020
Pierce,85+,Female,98.0,2020
Ramsey,85+,Female,216.0,2020
Ransom,85+,Female,137.0,2020
Renville,85+,Female,34.0,2020
Richland,85+,Female,288.0,2020
Rolette,85+,Female,132.0,2020
Sargent,85+,Female,55.0,2020
Sheridan,85+,Female,32.0,2020
Sioux,85+,Female,15.0,2020
Slope,85+,Female,17.0,2020
Stark,85+,Female,472.0,2020
Steele,85+,Female,29.0,2020
Stutsman,85+,Female,452.0,2020
Towner,85+,Female,64.0,2020
Traill,85+,Female,168.0,2020
Walsh,85+,Female,268.0,2020
Ward,85+,Female,827.0,2020
Wells,85+,Female,127.0,2020
Williams,85+,Female,287.0,2020
Adams,0-4,Male,55.52981028749791,2025
Adams,5-9,Male,59.145130287896826,2025
Adams,10-14,Male,53.906097632191496,2025
Adams,15-19,Male,51.56246239763892,2025
Adams,20-24,Male,57.5406374503377,2025
Adams,25-29,Male,32.433883891001564,2025
Adams,30-34,Male,35.76358016790984,2025
Adams,35-39,Male,65.51637133230699,2025
Adams,40-44,Male,51.03419487618034,2025
Adams,45-49,Male,46.7791589637909,2025
Adams,50-54,Male,42.94588693766506,2025
Adams,55-59,Male,60.46916882377986,2025
Adams,60-64,Male,83.77121437017874,2025
Adams,65-69,Male,90.64107491582529,2025
Adams,70-74,Male,89.04892980650382,2025
Adams,75-79,Male,66.84247469497566,2025
Adams,80-84,Male,44.24569029465592,2025
Adams,85+,Male,40.92770623573994,2025
Adams,0-4,Female,53.0914251216823,2025
Adams,5-9,Female,66.90537623948397,2025
Adams,10-14,Female,61.93668738244051,2025
Adams,15-19,Female,67.19845115664839,2025
Adams,20-24,Female,41.119766842662244,2025
Adams,25-29,Female,46.09146623258072,2025
Adams,30-34,Female,55.74750647624154,2025
Adams,35-39,Female,46.293924922154034,2025
Adams,40-44,Female,46.08991874801974,2025
Adams,45-49,Female,39.815558414933264,2025
Adams,50-54,Female,63.08125074743366,2025
Adams,55-59,Female,59.58693248191339,2025
Adams,60-64,Female,89.72432930580621,2025
Adams,65-69,Female,87.3516289726339,2025
Adams,70-74,Female,101.39959391386539,2025
Adams,75-79,Female,74.17045732905649,2025
Adams,80-84,Female,48.47048564976547,2025
Adams,85+,Female,69.18338797623299,2025
Barnes,0-4,Male,263.353885115908,2025
Barnes,5-9,Male,222.57979502946387,2025
Barnes,10-14,Male,321.3690503705071,2025
Barnes,15-19,Male,297.4806620948845,2025
Barnes,20-24,Male,389.3523460900244,2025
Barnes,25-29,Male,397.48864372238046,2025
Barnes,30-34,Male,285.79920176032687,2025
Barnes,35-39,Male,260.49433694622684,2025
Barnes,40-44,Male,292.6888875624456,2025
Barnes,45-49,Male,265.5405566843365,2025
Barnes,50-54,Male,285.30464946960103,2025
Barnes,55-59,Male,293.4958476419204,2025
Barnes,60-64,Male,356.4045889267779,2025
Barnes,65-69,Male,426.58046555793373,2025
Barnes,70-74,Male,343.42119114998127,2025
Barnes,75-79,Male,248.66961976980875,2025
Barnes,80-84,Male,175.00790522086712,2025
Barnes,85+,Male,160.25110544087133,2025
Barnes,0-4,Female,251.78967836818362,2025
Barnes,5-9,Female,292.4628297320195,2025
Barnes,10-14,Female,271.87934802188926,2025
Barnes,15-19,Female,301.0157648260616,2025
Barnes,20-24,Female,403.3650077603601,2025
Barnes,25-29,Female,325.44929628848564,2025
Barnes,30-34,Female,249.21578106025694,2025
Barnes,35-39,Female,267.60229359525323,2025
Barnes,40-44,Female,279.04294187059645,2025
Barnes,45-49,Female,251.7232866794112,2025
Barnes,50-54,Female,270.8424427426925,2025
Barnes,55-59,Female,302.71271495894473,2025
Barnes,60-64,Female,368.9795179212996,2025
Barnes,65-69,Female,409.28098811697794,2025
Barnes,70-74,Female,351.0049996833671,2025
Barnes,75-79,Female,279.57833917186616,2025
Barnes,80-84,Female,193.34866058316504,2025
Barnes,85+,Female,292.22228872886035,2025
Benson,0-4,Male,282.06966620428545,2025
Benson,5-9,Male,276.8072615478194,2025
Benson,10-14,Male,240.0649804032585,2025
Benson,15-19,Male,285.12669880602914,2025
Benson,20-24,Male,253.56291742352545,2025
Benson,25-29,Male,130.79084267612026,2025
Benson,30-34,Male,158.8621364607788,2025
Benson,35-39,Male,153.51547850219666,2025
Benson,40-44,Male,166.88800544206364,2025
Benson,45-49,Male,158.74640688323325,2025
Benson,50-54,Male,125.46534474675663,2025
Benson,55-59,Male,140.84835182757536,2025
Benson,60-64,Male,142.01867748757303,2025
Benson,65-69,Male,198.5600918003972,2025
Benson,70-74,Male,154.98279805113523,2025
Benson,75-79,Male,97.97527361483891,2025
Benson,80-84,Male,57.38627707608454,2025
Benson,85+,Male,52.6215504152649,2025
Benson,0-4,Female,269.6836255130219,2025
Benson,5-9,Female,273.76941584756827,2025
Benson,10-14,Female,268.0159484504872,2025
Benson,15-19,Female,256.02069326927057,2025
Benson,20-24,Female,203.60717357027352,2025
Benson,25-29,Female,136.38021087962431,2025
Benson,30-34,Female,153.77973847801854,2025
Benson,35-39,Female,180.4139349229145,2025
Benson,40-44,Female,150.6276562816981,2025
Benson,45-49,Female,153.71390592920497,2025
Benson,50-54,Female,108.30932840319205,2025
Benson,55-59,Female,139.66010845383238,2025
Benson,60-64,Female,174.80149541424367,2025
Benson,65-69,Female,171.54980012057908,2025
Benson,70-74,Female,153.81903718066096,2025
Benson,75-79,Female,106.1016457973489,2025
Benson,80-84,Female,53.784425538714636,2025
Benson,85+,Female,76.56275153223001,2025
Billings,0-4,Male,31.90501917253609,2025
Billings,5-9,Male,28.4124188539916,2025
Billings,10-14,Male,34.761629978681306,2025
Billings,15-19,Male,26.02811513195383,2025
Billings,20-24,Male,19.776918057545526,2025
Billings,25-29,Male,22.091395326325937,2025
Billings,30-34,Male,32.77270479303181,2025
Billings,35-39,Male,36.33611215700132,2025
Billings,40-44,Male,22.422268216141607,2025
Billings,45-49,Male,32.12003253094192,2025
Billings,50-54,Male,21.6879778908264,2025
Billings,55-59,Male,28.081934988441617,2025
Billings,60-64,Male,36.390489769360904,2025
Billings,65-69,Male,38.055112169492624,2025
Billings,70-74,Male,35.7675239556121,2025
Billings,75-79,Male,23.698139508703413,2025
Billings,80-84,Male,11.845275881802403,2025
Billings,85+,Male,16.249429469689527,2025
Billings,0-4,Female,30.5040288744855,2025
Billings,5-9,Female,42.116431089743585,2025
Billings,10-14,Female,22.083236433206885,2025
Billings,15-19,Female,26.41409979533592,2025
Billings,20-24,Female,18.234159470981986,2025
Billings,25-29,Female,18.211815675614414,2025
Billings,30-34,Female,25.52990985002356,2025
Billings,35-39,Female,22.588067705398,2025
Billings,40-44,Female,22.222782332831205,2025
Billings,45-49,Female,33.23346918311135,2025
Billings,50-54,Female,15.87337617133764,2025
Billings,55-59,Female,33.02565636184762,2025
Billings,60-64,Female,38.81427029459984,2025
Billings,65-69,Female,46.62900513588653,2025
Billings,70-74,Female,27.628056923179347,2025
Billings,75-79,Female,23.12892408713877,2025
Billings,80-84,Female,14.006513642596554,2025
Billings,85+,Female,10.912268422911701,2025
Bottineau,0-4,Male,162.60812799391266,2025
Bottineau,5-9,Male,184.7240482841133,2025
Bottineau,10-14,Male,180.6296659265889,2025
Bottineau,15-19,Male,220.85735466269352,2025
Bottineau,20-24,Male,191.58123007637803,2025
Bottineau,25-29,Male,137.3727925015273,2025
Bottineau,30-34,Male,163.1165790582666,2025
Bottineau,35-39,Male,178.04105254505728,2025
Bottineau,40-44,Male,158.4775697961184,2025
Bottineau,45-49,Male,166.62345131019367,2025
Bottineau,50-54,Male,163.82037090758874,2025
Bottineau,55-59,Male,159.2548166606857,2025
Bottineau,60-64,Male,235.41124034951548,2025
Bottineau,65-69,Male,250.53019368601164,2025
Bottineau,70-74,Male,228.6985604158403,2025
Bottineau,75-79,Male,183.20435159924253,2025
Bottineau,80-84,Male,110.79154820683817,2025
Bottineau,85+,Male,82.51494589262444,2025
Bottineau,0-4,Female,155.46779660994844,2025
Bottineau,5-9,Female,182.89487772326783,2025
Bottineau,10-14,Female,220.87737128388045,2025
Bottineau,15-19,Female,185.9737063614529,2025
Bottineau,20-24,Female,170.29454429013578,2025
Bottineau,25-29,Female,111.81701430624318,2025
Bottineau,30-34,Female,174.24006059297625,2025
Bottineau,35-39,Female,165.78306646809068,2025
Bottineau,40-44,Female,159.06812078819138,2025
Bottineau,45-49,Female,156.49505153444832,2025
Bottineau,50-54,Female,146.54410178778852,2025
Bottineau,55-59,Female,161.42829505132855,2025
Bottineau,60-64,Female,214.36515448706828,2025
Bottineau,65-69,Female,229.7280429487025,2025
Bottineau,70-74,Female,254.42677313183862,2025
Bottineau,75-79,Female,183.01627777818095,2025
Bottineau,80-84,Female,115.33914247258735,2025
Bottineau,85+,Female,148.07511592174208,2025
Bowman,0-4,Male,89.60282904563907,2025
Bowman,5-9,Male,86.89202277493891,2025
Bowman,10-14,Male,96.20020461000284,2025
Bowman,15-19,Male,105.94723537138943,2025
Bowman,20-24,Male,78.51869448009587,2025
Bowman,25-29,Male,47.36825006383694,2025
Bowman,30-34,Male,80.80302275530374,2025
Bowman,35-39,Male,83.94974186899499,2025
Bowman,40-44,Male,97.25311617434542,2025
Bowman,45-49,Male,84.97155450715907,2025
Bowman,50-54,Male,66.15422926497581,2025
Bowman,55-59,Male,68.09265063467666,2025
Bowman,60-64,Male,100.88369509977525,2025
Bowman,65-69,Male,123.38465239235019,2025
Bowman,70-74,Male,109.68956083039602,2025
Bowman,75-79,Male,55.519909306857635,2025
Bowman,80-84,Male,58.130712789671655,2025
Bowman,85+,Male,47.20440808025676,2025
Bowman,0-4,Female,85.66825394032509,2025
Bowman,5-9,Female,81.13951872002488,2025
Bowman,10-14,Female,122.55040376192741,2025
Bowman,15-19,Female,93.83589056040054,2025
Bowman,20-24,Female,68.17749473886796,2025
Bowman,25-29,Female,49.578174118231125,2025
Bowman,30-34,Female,83.34318623934197,2025
Bowman,35-39,Female,78.86187137638956,2025
Bowman,40-44,Female,86.52756279984796,2025
Bowman,45-49,Female,72.42714895777145,2025
Bowman,50-54,Female,66.08885337886213,2025
Bowman,55-59,Female,53.98260714856068,2025
Bowman,60-64,Female,104.36985768783653,2025
Bowman,65-69,Female,130.2550356035538,2025
Bowman,70-74,Female,109.19938313763599,2025
Bowman,75-79,Female,76.02630639591472,2025
Bowman,80-84,Female,53.62753179162339,2025
Bowman,85+,Female,72.44481067082786,2025
Burke,0-4,Male,70.98489846903182,2025
Burke,5-9,Male,82.41923346614962,2025
Burke,10-14,Male,67.67355659978153,2025
Burke,15-19,Male,89.02909172073554,2025
Burke,20-24,Male,75.73230383264958,2025
Burke,25-29,Male,50.36059953825562,2025
Burke,30-34,Male,69.97639597634598,2025
Burke,35-39,Male,47.97486108701984,2025
Burke,40-44,Male,75.81766191868527,2025
Burke,45-49,Male,60.91077051899534,2025
Burke,50-54,Male,67.30136059208151,2025
Burke,55-59,Male,67.06203235650462,2025
Burke,60-64,Male,91.59295023627959,2025
Burke,65-69,Male,90.72030751041574,2025
Burke,70-74,Male,65.60820114584325,2025
Burke,75-79,Male,51.18007505087519,2025
Burke,80-84,Male,30.921928278946858,2025
Burke,85+,Male,20.910439257015547,2025
Burke,0-4,Female,67.86786056582861,2025
Burke,5-9,Female,61.181458369257705,2025
Burke,10-14,Female,95.60072059301045,2025
Burke,15-19,Female,60.77442981665901,2025
Burke,20-24,Female,51.592034219170614,2025
Burke,25-29,Female,30.69516652581719,2025
Burke,30-34,Female,48.51825633903955,2025
Burke,35-39,Female,58.57938468285313,2025
Burke,40-44,Female,72.43444361035655,2025
Burke,45-49,Female,61.545851443440995,2025
Burke,50-54,Female,52.02778506754084,2025
Burke,55-59,Female,45.19014575410791,2025
Burke,60-64,Female,67.23007489899376,2025
Burke,65-69,Female,70.23666890935444,2025
Burke,70-74,Female,60.14883418183552,2025
Burke,75-79,Female,64.59923164192283,2025
Burke,80-84,Female,25.678516484361626,2025
Burke,85+,Female,47.87491009524839,2025
Burleigh,0-4,Male,3159.927927213097,2025
Burleigh,5-9,Male,3104.4723084513676,2025
Burleigh,10-14,Male,3229.3557971925907,2025
Burleigh,15-19,Male,3248.0848866827396,2025
Burleigh,20-24,Male,3232.230838900879,2025
Burleigh,25-29,Male,3150.0112429776404,2025
Burleigh,30-34,Male,3287.832211492734,2025
Burleigh,35-39,Male,3496.76353934152,2025
Burleigh,40-44,Male,3600.909056479934,2025
Burleigh,45-49,Male,3076.0544152795164,2025
Burleigh,50-54,Male,2629.0472235667467,2025
Burleigh,55-59,Male,2597.5870149851808,2025
Burleigh,60-64,Male,2759.809833476267,2025
Burleigh,65-69,Male,2792.753914386572,2025
Burleigh,70-74,Male,2242.8384448461748,2025
Burleigh,75-79,Male,1641.5517540100502,2025
Burleigh,80-84,Male,1002.2976450027311,2025
Burleigh,85+,Male,989.1301119611248,2025
Burleigh,0-4,Female,3021.1714405103567,2025
Burleigh,5-9,Female,3061.974994784322,2025
Burleigh,10-14,Female,3338.9951250442477,2025
Burleigh,15-19,Female,3216.7764084526743,2025
Burleigh,20-24,Female,3226.3445957857866,2025
Burleigh,25-29,Female,3137.9237517634915,2025
Burleigh,30-34,Female,3084.391154731484,2025
Burleigh,35-39,Female,3385.4700636072566,2025
Burleigh,40-44,Female,3462.284766365168,2025
Burleigh,45-49,Female,2888.548273172243,2025
Burleigh,50-54,Female,2613.708757467709,2025
Burleigh,55-59,Female,2538.531066308156,2025
Burleigh,60-64,Female,3002.8465500660814,2025
Burleigh,65-69,Female,3251.937624499764,2025
Burleigh,70-74,Female,2717.7036723662522,2025
Burleigh,75-79,Female,1981.0813914784082,2025
Burleigh,80-84,Female,1338.7673854631225,2025
Burleigh,85+,Female,2002.4804878091509,2025
Cass,0-4,Male,6711.091304226262,2025
Cass,5-9,Male,5971.67878996244,2025
Cass,10-14,Male,5977.901103539926,2025
Cass,15-19,Male,6006.289237537595,2025
Cass,20-24,Male,6750.60038206951,2025
Cass,25-29,Male,8739.652069319476,2025
Cass,30-34,Male,7850.571137611982,2025
Cass,35-39,Male,7503.565184915278,2025
Cass,40-44,Male,7069.710294058859,2025
Cass,45-49,Male,5745.564395606121,2025
Cass,50-54,Male,4823.942952199031,2025
Cass,55-59,Male,4538.237737177298,2025
Cass,60-64,Male,4612.617298952693,2025
Cass,65-69,Male,4152.012301302609,2025
Cass,70-74,Male,3547.2066019594295,2025
Cass,75-79,Male,2397.843844007931,2025
Cass,80-84,Male,1254.8252208149083,2025
Cass,85+,Male,1268.2982866188725,2025
Cass,0-4,Female,6416.398680607777,2025
Cass,5-9,Female,5999.708283793241,2025
Cass,10-14,Female,5901.1859690085175,2025
Cass,15-19,Female,5818.8691188392695,2025
Cass,20-24,Female,6901.6278683899745,2025
Cass,25-29,Female,8391.63729296333,2025
Cass,30-34,Female,7699.654112205148,2025
Cass,35-39,Female,7233.912536710271,2025
Cass,40-44,Female,6747.610501710122,2025
Cass,45-49,Female,5414.710420601276,2025
Cass,50-54,Female,4712.336589855321,2025
Cass,55-59,Female,4591.08667437167,2025
Cass,60-64,Female,4743.530870327496,2025
Cass,65-69,Female,4858.393385903609,2025
Cass,70-74,Female,4111.597572432401,2025
Cass,75-79,Female,2856.35714913209,2025
Cass,80-84,Female,1760.7104406573035,2025
Cass,85+,Female,2449.3966095492488,2025
Cavalier,0-4,Male,112.89131496644588,2025
Cavalier,5-9,Male,131.25732772621774,2025
Cavalier,10-14,Male,107.5391129470258,2025
Cavalier,15-19,Male,96.65363050348336,2025
Cavalier,20-24,Male,91.62953008306792,2025
Cavalier,25-29,Male,83.29606333398924,2025
Cavalier,30-34,Male,88.92249506361124,2025
Cavalier,35-39,Male,116.47952135999319,2025
Cavalier,40-44,Male,92.06420993880134,2025
Cavalier,45-49,Male,79.0053649928711,2025
Cavalier,50-54,Male,95.14750797514485,2025
Cavalier,55-59,Male,96.0541264905436,2025
Cavalier,60-64,Male,131.15220033157905,2025
Cavalier,65-69,Male,145.4952985454905,2025
Cavalier,70-74,Male,131.7954583797362,2025
Cavalier,75-79,Male,111.85979895607102,2025
Cavalier,80-84,Male,63.665364491589465,2025
Cavalier,85+,Male,66.12089332934723,2025
Cavalier,0-4,Female,107.9341125856271,2025
Cavalier,5-9,Female,135.04761996319323,2025
Cavalier,10-14,Female,113.0589435239435,2025
Cavalier,15-19,Female,84.45931995736223,2025
Cavalier,20-24,Female,81.75507020577156,2025
Cavalier,25-29,Female,45.747328782123006,2025
Cavalier,30-34,Female,111.09902729967847,2025
Cavalier,35-39,Female,90.07591680795603,2025
Cavalier,40-44,Female,89.60695609939097,2025
Cavalier,45-49,Female,72.1299939878995,2025
Cavalier,50-54,Female,84.63906163249708,2025
Cavalier,55-59,Female,94.25978596723957,2025
Cavalier,60-64,Female,133.63272463549268,2025
Cavalier,65-69,Female,129.80907719124176,2025
Cavalier,70-74,Female,136.2838649852348,2025
Cavalier,75-79,Female,98.51043524738844,2025
Cavalier,80-84,Female,80.08374852705195,2025
Cavalier,85+,Female,116.18525866853184,2025
Dickey,0-4,Male,129.17267083377783,2025
Dickey,5-9,Male,150.2660895330967,2025
Dickey,10-14,Male,169.1276364211615,2025
Dickey,15-19,Male,191.93302261962987,2025
Dickey,20-24,Male,153.8713547648797,2025
Dickey,25-29,Male,139.10994243421146,2025
Dickey,30-34,Male,112.78747171023397,2025
Dickey,35-39,Male,141.12165287314832,2025
Dickey,40-44,Male,132.1317740838575,2025
Dickey,45-49,Male,134.1927502428751,2025
Dickey,50-54,Male,124.64745156925888,2025
Dickey,55-59,Male,135.98212969277577,2025
Dickey,60-64,Male,148.4546321473431,2025
Dickey,65-69,Male,178.2886539718314,2025
Dickey,70-74,Male,142.10291415603552,2025
Dickey,75-79,Male,104.95766105754008,2025
Dickey,80-84,Male,74.39987454674315,2025
Dickey,85+,Male,74.51461750907957,2025
Dickey,0-4,Female,123.50053324211059,2025
Dickey,5-9,Female,148.7199582805519,2025
Dickey,10-14,Female,179.94771643778563,2025
Dickey,15-19,Female,173.48455128090797,2025
Dickey,20-24,Female,160.84647826297982,2025
Dickey,25-29,Female,123.12666976971943,2025
Dickey,30-34,Female,120.3619168946394,2025
Dickey,35-39,Female,131.58442935163202,2025
Dickey,40-44,Female,140.35103999046984,2025
Dickey,45-49,Female,118.85407539182258,2025
Dickey,50-54,Female,120.74782627239895,2025
Dickey,55-59,Female,116.90013413455368,2025
Dickey,60-64,Female,144.2748076247428,2025
Dickey,65-69,Female,191.90194781278737,2025
Dickey,70-74,Female,139.03536938051107,2025
Dickey,75-79,Female,119.24399857273937,2025
Dickey,80-84,Female,104.30632604988422,2025
Dickey,85+,Female,123.07390675428837,2025
Divide,0-4,Male,65.5423047724465,2025
Divide,5-9,Male,91.15623749387078,2025
Divide,10-14,Male,49.574461508766625,2025
Divide,15-19,Male,58.78925541291325,2025
Divide,20-24,Male,67.78054560449269,2025
Divide,25-29,Male,35.15493680553531,2025
Divide,30-34,Male,56.71483337922645,2025
Divide,35-39,Male,76.25360014969333,2025
Divide,40-44,Male,63.59308120812915,2025
Divide,45-49,Male,69.83698558097069,2025
Divide,50-54,Male,57.83381950009075,2025
Divide,55-59,Male,50.29919046663005,2025
Divide,60-64,Male,93.28639711638678,2025
Divide,65-69,Male,90.26182725485425,2025
Divide,70-74,Male,72.67449777554232,2025
Divide,75-79,Male,63.24387765444719,2025
Divide,80-84,Male,30.697800378970097,2025
Divide,85+,Male,38.6757870189376,2025
Divide,0-4,Female,62.66425813653929,2025
Divide,5-9,Female,60.90173387664165,2025
Divide,10-14,Female,77.74997736783973,2025
Divide,15-19,Female,78.01875128583224,2025
Divide,20-24,Female,46.064017067580274,2025
Divide,25-29,Female,34.89132413033148,2025
Divide,30-34,Female,60.214415727094185,2025
Divide,35-39,Female,70.36396572324188,2025
Divide,40-44,Female,68.13798039025045,2025
Divide,45-49,Female,65.93959970649274,2025
Divide,50-54,Female,38.838665125872794,2025
Divide,55-59,Female,52.66436060304015,2025
Divide,60-64,Female,77.46882829022323,2025
Divide,65-69,Female,74.3878253149586,2025
Divide,70-74,Female,68.05598820717121,2025
Divide,75-79,Female,49.59270202161611,2025
Divide,80-84,Female,35.729502631843886,2025
Divide,85+,Female,51.55320169761331,2025
Dunn,0-4,Male,142.40342666026407,2025
Dunn,5-9,Male,154.6374627967871,2025
Dunn,10-14,Male,132.6153447482678,2025
Dunn,15-19,Male,142.9778908548135,2025
Dunn,20-24,Male,113.02152546035053,2025
Dunn,25-29,Male,102.75946996224594,2025
Dunn,30-34,Male,124.75317737534529,2025
Dunn,35-39,Male,157.14922186510057,2025
Dunn,40-44,Male,137.3616605567923,2025
Dunn,45-49,Male,123.40252781422392,2025
Dunn,50-54,Male,124.50702909158501,2025
Dunn,55-59,Male,121.19015834177723,2025
Dunn,60-64,Male,139.84742477399763,2025
Dunn,65-69,Male,151.0301369482989,2025
Dunn,70-74,Male,122.56361074044486,2025
Dunn,75-79,Male,71.19401118405003,2025
Dunn,80-84,Male,32.44505040081743,2025
Dunn,85+,Male,51.22023184577338,2025
Dunn,0-4,Female,136.15030961678883,2025
Dunn,5-9,Female,152.32352253847355,2025
Dunn,10-14,Female,172.77918211048984,2025
Dunn,15-19,Female,122.99525454645533,2025
Dunn,20-24,Female,110.26666104834003,2025
Dunn,25-29,Female,84.53807271411026,2025
Dunn,30-34,Female,121.09641550555217,2025
Dunn,35-39,Female,148.1906996942384,2025
Dunn,40-44,Female,135.8441300798526,2025
Dunn,45-49,Female,94.42641588961509,2025
Dunn,50-54,Female,85.23017954492714,2025
Dunn,55-59,Female,117.93222637906923,2025
Dunn,60-64,Female,134.96776017089658,2025
Dunn,65-69,Female,132.08516124619766,2025
Dunn,70-74,Female,101.35731082973764,2025
Dunn,75-79,Female,69.45832765765893,2025
Dunn,80-84,Female,48.679183241324246,2025
Dunn,85+,Female,73.20064282509048,2025
Eddy,0-4,Male,72.56718106960199,2025
Eddy,5-9,Male,72.40125700184991,2025
Eddy,10-14,Male,68.24688785116922,2025
Eddy,15-19,Male,86.2228109542458,2025
Eddy,20-24,Male,61.997431462890205,2025
