year,population,male_population,female_population,pop_0-4,pop_5-9,pop_10-14,pop_15-19,pop_20-24,pop_25-29,pop_30-34,pop_35-39,pop_40-44,pop_45-49,pop_50-54,pop_55-59,pop_60-64,pop_65-69,pop_70-74,pop_75-79,pop_80-84,pop_85+,period_births,period_deaths,period_migration,natural_change
2024,796607.0,406857.0,389750.0,53508.0,53992.0,51323.0,51769.0,61703.0,58499.0,58342.0,55007.0,45432.0,40965.0,41557.0,48810.0,50154.0,42269.0,30628.0,20628.0,14693.0,17328.0,,,,
2025,814908.3947905372,407714.4575823163,407193.937208221,54511.77223719781,52587.99642810752,53337.0893542909,51421.45617025178,52890.226657282125,59335.05267092398,57593.00594737604,56997.94285174427,53592.13673651665,44079.095519944574,39607.42546739796,39790.78386732092,46026.703948427064,46300.656907941266,38055.82763682651,26600.949722050977,16680.658245817853,25499.61442111913,54804.22929367573,-28593.336900050275,3972.7408760546464,83397.566193726
2030,838183.7303471009,411787.2526586392,426396.4776884616,55072.86525353907,54423.21788428389,52862.69346169714,55953.00278024007,56357.946607102276,49864.09256868912,59120.309088305155,56848.8075869692,56231.85367102009,52653.99103381279,43057.47240360063,38038.6282981286,37235.008368187795,41946.47042235265,41149.76115690306,32599.88860561716,21083.614655787493,33684.106500864684,55368.332588443736,-26407.42345010879,11575.274312879015,81775.75603855253
2035,860998.0528597208,415882.8666578453,445115.18620187545,55481.56479033769,54924.12932852449,54806.327503613735,55548.98995316399,62015.780908471446,53611.050612529405,50089.96867468714,58105.512505052146,56130.12250727184,55403.76803312012,51649.531774426316,41435.19770688724,35560.5351599044,33766.76456100893,37220.886603449224,35349.34580978675,25953.422802370835,43945.153625115105,55779.22480874193,-24086.79284615749,13587.285352429177,79866.01765489942
2040,881339.6469066808,418978.2770232394,462361.3698834414,56609.918164153765,55220.15253151013,55019.52567371188,57120.64111877664,60600.22427439423,59290.08438423167,53765.677293022454,49232.66376277129,57023.62745325956,55199.164553325965,54341.45936333106,49841.573562628444,38850.25533877706,32303.1398375372,29958.285212166917,32092.004020046974,28401.37109677898,56469.87926625664,56913.631827354875,-22235.277908802822,12246.417987106624,79148.9097361577
2045,910487.2421815314,427251.8013080239,483235.44087350747,59511.727085812636,56998.44443701879,55884.77387734623,58903.18659816309,65382.7361693207,57842.0403046259,60246.74660974214,53360.73862871478,48636.516502856575,56171.33563202486,54464.42417195361,52647.659619731094,46858.18354221877,35179.52769712602,28432.95547962749,25547.438438433088,25498.338069563903,68920.46931725163,59831.00902832041,-22049.737122093084,19464.504453863912,81880.7461504135
2050,944586.8577136918,438526.3998104431,506060.45790324867,62696.638701043055,60123.240606584644,57934.738654394154,59591.04247391524,68031.2003218669,62499.33718943903,59217.33690063846,59969.91956797618,52969.7459662221,47956.78815393934,55271.06358118249,52803.81651465564,49551.77077563505,42616.50932022632,31035.759698889746,24250.66476344467,20312.800308645667,77754.48421499318,63033.007776071136,-24668.22860622905,21514.930533466475,87701.23638230018
