year,population,male_population,female_population,pop_0-4,pop_5-9,pop_10-14,pop_15-19,pop_20-24,pop_25-29,pop_30-34,pop_35-39,pop_40-44,pop_45-49,pop_50-54,pop_55-59,pop_60-64,pop_65-69,pop_70-74,pop_75-79,pop_80-84,pop_85+,period_births,period_deaths,period_migration,natural_change
2024,796607.0,406857.0,389750.0,53508.0,53992.0,51323.0,51769.0,61703.0,58499.0,58342.0,55007.0,45432.0,40965.0,41557.0,48810.0,50154.0,42269.0,30628.0,20628.0,14693.0,17328.0,,,,
2025,817043.6764199996,409025.9301132583,408017.7463067414,54511.77223719781,52817.923499674376,53579.31440200521,52048.079041327845,54118.14667040388,58879.78638991005,57929.60398331189,57173.06145202946,53746.11847772986,44181.43460325936,39700.36593456643,39829.00002348317,45988.92553020241,46164.50749430496,37897.473043989565,26470.887650932415,16570.116287761666,25437.159697909294,54804.22929367573,-28593.336900050275,6108.022505517017,83397.566193726
2030,847051.2849045033,417138.1391863197,429913.1457181835,55146.00303877881,55102.92365209434,53866.99248094509,58190.4116644858,60543.90784847168,50056.309700335856,59456.83957949556,57722.39136409394,56942.3984148359,53204.48266132889,43468.92853396903,38250.64507734678,37178.32001761706,41532.56901647649,40514.47116096573,31986.55554242926,20564.191367228646,33322.94378360437,55441.86275977754,-26484.78679728163,18157.046108406397,81926.64955705917
2035,879357.6049962175,426860.44452430285,452497.16047191474,55998.80657883828,55677.59222597824,56389.803678374934,58629.685148404336,69046.50734826703,56477.99635795782,51390.48601914548,58961.86972116344,57659.06459669759,56646.3261025538,52629.03912037209,41987.42112424093,35679.45337254881,33411.85976550654,36391.243771711,34310.80386802026,24988.622780202022,43081.02341623505,56299.24161270696,-24499.761208200467,22222.21056621987,80799.00282090742
2040,910067.3309120281,436068.40863110323,473998.9222809249,58327.862783758115,56417.53449254886,56533.0817688789,60598.09677990546,67825.56018960789,64885.399831046874,57691.91842826467,51138.541164519556,58420.19837981935,57261.17114093498,56046.25828064693,50977.605316222696,39307.173486628395,32173.667232065665,29340.86137665455,31012.339073427545,27166.22646825561,54943.834718842016,58640.79326391495,-23279.690409713116,20369.434523942975,81920.48367362807
2045,956835.1167701308,454573.4908518464,502261.6259182844,62890.29663637268,59875.96721455303,58292.15706558003,63156.89697870811,74977.52856010036,63724.41888972905,67520.76989845565,58262.35863551549,51469.687616941876,58290.017220183196,57295.29848291972,54646.49592154048,47831.89639587051,35228.472151901406,27924.025440801983,24624.868998688744,24145.618973945777,66678.34168832275,63227.70469119183,-24297.321886295587,33176.48534195803,87525.02657748741
2050,1013399.8429528523,478820.88269428746,534578.9602585648,67767.610754429,64896.54664890568,62375.11375501219,64749.61277225702,79266.45698222255,70727.59721039783,67531.13630463368,68476.77453909961,59058.34761512764,51659.13722655275,58157.38356314546,55990.75644298218,51359.838685366296,43050.70521005698,30649.596306978347,23451.270490433595,19215.46312537986,75016.4953198717,68131.18572461237,-28461.65660806684,38494.21067936376,96592.84233267921
