oil_category,n_states,mean_shift_magnitude,std_shift_magnitude,mean_relative_shift,std_relative_shift,mean_cohens_d
Non-Oil,41,40803.66829268292,153834.75570320405,123.23477343487068,82.7749477108127,1.460768963554648
Primary Oil,6,24347.058333333334,48562.21303826069,114.01963704120192,42.47905916199671,1.5017106726777099
Secondary Oil,4,38162.3125,66347.08819418747,126.07817209504735,48.23744303667814,1.4536161406946397
