rel_time,year,coefficient,std_error,t_statistic,p_value,ci_lower,ci_upper,is_reference
-16,2002,-1.8732301748132543,0.8427662163301027,-2.222716262844985,0.026234938584054214,-3.5250216062073476,-0.22143874341916092,False
-15,2003,-1.9241878094315705,0.9230088998171004,-2.084690418275338,0.037097410972295256,-3.7332520104830262,-0.11512360838011482,False
-14,2004,-1.5120681552843742,1.053917286550069,-1.43471235796315,0.15136908120399217,-3.5777080796066896,0.5535717690379409,False
-13,2005,-1.6984091650794761,0.872907892611661,-1.9456911541926725,0.051691849864899386,-3.409277196419089,0.012458866260136592,False
-12,2006,-1.2977987346634021,0.8372676484824287,-1.550040464379221,0.12113180412925899,-2.9388131711095045,0.3432157017827002,False
-11,2007,-1.1318388586360537,0.6886552530795799,-1.6435492992678302,0.10026933408064254,-2.4815783524363466,0.21790063516423896,False
-10,2008,-1.3628789728829442,0.7937144239165299,-1.7170898396401952,0.08596275833876338,-2.9185306577693,0.19277271200341128,False
-9,2009,-0.5545649089327892,0.7353133411777832,-0.7541885586415698,0.4507360067508722,-1.9957525749930576,0.8866227571274791,False
-8,2010,-1.2827613153050903,0.7543453404432542,-1.7004961077261223,0.08903764791297855,-2.761251014479474,0.1957283838692938,False
-7,2011,-0.9730779794606708,0.6699451363623253,-1.4524741305598532,0.14636981716597927,-2.286146318348604,0.3399903594272622,False
-6,2012,-0.6902065530427022,0.7002912148461774,-0.9855993312643649,0.32432976632842736,-2.062752112831011,0.6823390067456068,False
-5,2013,-0.5921995680160133,0.6813210367801091,-0.8691931351697583,0.3847415016031861,-1.9275642620145166,0.7431651259824901,False
-4,2014,-0.4802497004140481,0.7137377615112095,-0.6728657587027579,0.5010326979354774,-1.879150007382257,0.9186506065541609,False
-3,2015,0.03625455894674993,0.7387571482397047,0.04907507024891271,0.9608594705223331,-1.411682844924589,1.484191962818089,False
-2,2016,0.03715239619580181,0.8828286940310126,0.042083358240388925,0.9664322466180316,-1.6931600486235139,1.7674648410151175,False
-1,2017,0.0,0.0,,,0.0,0.0,True
0,2018,-2.688076743850626,0.8232818679209098,-3.2650746343278647,0.0010943523706810102,-4.301679554100471,-1.0744739336007811,False
1,2019,-1.8021877225689757,0.9344468444809568,-1.9286144880397236,0.05377873908264734,-3.633669883218752,0.029294438080800678,False
