origin_year,method,validation_year,horizon,county_fips,county_name,projected,actual,error,pct_error,category,z_score,horizon_mean_error,horizon_std_error
2015,m2026,2020,5,38079,Rolette,15043.6,12194.0,2849.6,23.3688,Reservation,3.1411777928907614,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38049,McHenry,6443.7,5336.0,1107.7,20.7589,Rural,2.8312251040885426,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38085,Sioux,4586.8,3897.0,689.8,17.6999,Reservation,2.4679371332674434,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38033,Golden Valley,2024.4,1729.0,295.4,17.0843,Rural,2.394828249698477,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38013,Burke,2544.6,2195.0,349.6,15.9292,Rural,2.257648146692445,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38005,Benson,6830.4,5960.0,870.4,14.604,Reservation,2.1002669048055145,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38087,Slope,810.0,707.0,103.0,14.5628,Rural,2.0953739775751026,-3.0809138364779876,8.42031733967432
2015,m2026,2020,5,38075,Renville,2622.5,2290.0,332.5,14.5216,Rural,2.090481050344691,-3.0809138364779876,8.42031733967432
2010,m2026,2015,5,38025,Dunn,3493.4,4375.0,-881.6,-20.1514,Bakken,-2.027297247229671,-3.0809138364779876,8.42031733967432
2010,m2026,2015,5,38105,Williams,23095.4,32106.0,-9010.6,-28.0653,Bakken,-2.9671549367625567,-3.0809138364779876,8.42031733967432
2010,m2026,2015,5,38053,McKenzie,6547.9,10979.0,-4431.1,-40.3599,Bakken,-4.427266177709626,-3.0809138364779876,8.42031733967432
2015,m2026,2021,6,38023,Divide,2830.8,2182.0,648.8,29.732,Rural,3.4028971499067313,-3.5215805031446537,9.772137986614167
2015,m2026,2021,6,38079,Rolette,15073.5,12074.0,2999.5,24.843,Reservation,2.9025972148570083,-3.5215805031446537,9.772137986614167
2015,m2026,2021,6,38049,McHenry,6517.1,5224.0,1293.1,24.7523,Rural,2.8933157249594816,-3.5215805031446537,9.772137986614167
2015,m2026,2021,6,38085,Sioux,4602.4,3750.0,852.4,22.7304,Reservation,2.686411155788478,-3.5215805031446537,9.772137986614167
2015,m2026,2021,6,38013,Burke,2597.9,2152.0,445.9,20.7217,Rural,2.480857365742583,-3.5215805031446537,9.772137986614167
2015,m2026,2021,6,38005,Benson,6810.9,5773.0,1037.9,17.978,Reservation,2.2000897380485918,-3.5215805031446537,9.772137986614167
2015,m2026,2021,6,38033,Golden Valley,2058.4,1754.0,304.4,17.3527,Rural,2.136101693584163,-3.5215805031446537,9.772137986614167
2015,m2026,2021,6,38041,Hettinger,2849.3,2428.0,421.3,17.3517,Rural,2.135999361832261,-3.5215805031446537,9.772137986614167
2015,m2026,2021,6,38087,Slope,814.6,695.0,119.6,17.2077,Rural,2.121263589558348,-3.5215805031446537,9.772137986614167
2010,m2026,2016,6,38025,Dunn,3471.7,4578.0,-1106.3,-24.1653,Bakken,-2.11250798189025,-3.5215805031446537,9.772137986614167
2010,m2026,2016,6,38105,Williams,23206.2,35301.0,-12094.8,-34.2618,Bakken,-3.1457005149705384,-3.5215805031446537,9.772137986614167
2010,m2026,2016,6,38053,McKenzie,6581.1,12794.0,-6212.9,-48.5609,Bakken,-4.608952468594898,-3.5215805031446537,9.772137986614167
2015,m2026,2022,7,38023,Divide,2903.9,2174.0,729.9,33.5746,Rural,3.572654169794505,-3.952881132075472,10.504090054211433
2015,m2026,2022,7,38079,Rolette,15101.7,11889.0,3212.7,27.0223,Reservation,2.9488685809254376,-3.952881132075472,10.504090054211433
2015,m2026,2022,7,38049,McHenry,6594.0,5208.0,1386.0,26.6125,Rural,2.909855206336584,-3.952881132075472,10.504090054211433
2015,m2026,2022,7,38085,Sioux,4617.9,3697.0,920.9,24.9083,Reservation,2.7476136422215918,-3.952881132075472,10.504090054211433
2015,m2026,2022,7,38013,Burke,2653.8,2133.0,520.8,24.418,Rural,2.7009365861920287,-3.952881132075472,10.504090054211433
2015,m2026,2022,7,38033,Golden Valley,2094.7,1746.0,348.7,19.9692,Rural,2.2774063254041055,-3.952881132075472,10.504090054211433
2015,m2026,2022,7,38087,Slope,819.8,684.0,135.8,19.8489,Rural,2.2659536436983,-3.952881132075472,10.504090054211433
2015,m2026,2022,7,38041,Hettinger,2893.6,2425.0,468.6,19.3233,Rural,2.2159159919562277,-3.952881132075472,10.504090054211433
2015,m2026,2022,7,38005,Benson,6790.7,5794.0,996.7,17.2028,Reservation,2.0140422466764236,-3.952881132075472,10.504090054211433
2010,m2026,2017,7,38105,Williams,23315.5,34213.0,-10897.5,-31.8518,Bakken,-2.656005301167324,-3.952881132075472,10.504090054211433
2010,m2026,2017,7,38053,McKenzie,6616.1,12572.0,-5955.9,-47.3742,Bakken,-4.133753484959461,-3.952881132075472,10.504090054211433
2015,m2026,2023,8,38023,Divide,2982.4,2148.0,834.4,38.8461,Rural,3.791414856807618,-4.684325786163521,11.481314345752251
2015,m2026,2023,8,38049,McHenry,6674.1,5152.0,1522.1,29.5439,Rural,2.981211449787276,-4.684325786163521,11.481314345752251
2015,m2026,2023,8,38079,Rolette,15128.0,11766.0,3362.0,28.574,Reservation,2.8967350587755774,-4.684325786163521,11.481314345752251
2015,m2026,2023,8,38085,Sioux,4633.2,3659.0,974.2,26.6239,Reservation,2.726885166918772,-4.684325786163521,11.481314345752251
2015,m2026,2023,8,38013,Burke,2712.2,2147.0,565.2,26.3239,Rural,2.7007557542952956,-4.684325786163521,11.481314345752251
2015,m2026,2023,8,38041,Hettinger,2941.2,2418.0,523.2,21.6359,Rural,2.292440133032437,-4.684325786163521,11.481314345752251
2015,m2026,2023,8,38087,Slope,825.4,679.0,146.4,21.5621,Rural,2.286012297527062,-4.684325786163521,11.481314345752251
2015,m2026,2023,8,38033,Golden Valley,2133.1,1760.0,373.1,21.1983,Rural,2.2543260298189933,-4.684325786163521,11.481314345752251
2010,m2026,2018,8,38105,Williams,23422.2,33467.0,-10044.8,-30.0141,Bakken,-2.206173740309423,-4.684325786163521,11.481314345752251
2010,m2026,2018,8,38053,McKenzie,6652.5,12688.0,-6035.5,-47.5686,Bakken,-3.7351363199721472,-4.684325786163521,11.481314345752251
2015,m2026,2024,9,38023,Divide,3066.3,2124.0,942.3,44.3643,Rural,3.938305238054937,-5.4521691823899365,12.649214870656765
2015,m2026,2024,9,38049,McHenry,6757.2,5135.0,1622.2,31.591,Rural,2.928495528075934,-5.4521691823899365,12.649214870656765
2015,m2026,2024,9,38079,Rolette,15152.6,11692.0,3460.6,29.5977,Reservation,2.770912625075053,-5.4521691823899365,12.649214870656765
2015,m2026,2024,9,38013,Burke,2772.8,2154.0,618.8,28.7282,Rural,2.702173180857291,-5.4521691823899365,12.649214870656765
2015,m2026,2024,9,38087,Slope,831.5,660.0,171.5,25.9785,Rural,2.484792100045812,-5.4521691823899365,12.649214870656765
2015,m2026,2024,9,38085,Sioux,4648.3,3713.0,935.3,25.1903,Reservation,2.4224799322109183,-5.4521691823899365,12.649214870656765
2015,m2026,2024,9,38041,Hettinger,2991.7,2419.0,572.7,23.6769,Rural,2.3028361428156776,-5.4521691823899365,12.649214870656765
2015,m2026,2024,9,38033,Golden Valley,2173.5,1795.0,378.5,21.0857,Rural,2.0979854839806396,-5.4521691823899365,12.649214870656765
2005,m2026,2014,9,38105,Williams,19902.4,29591.0,-9688.6,-32.7418,Bakken,-2.1574169698797396,-5.4521691823899365,12.649214870656765
2010,m2026,2019,9,38105,Williams,23525.3,35469.0,-11943.7,-33.6736,Bakken,-2.231081620968999,-5.4521691823899365,12.649214870656765
2005,m2026,2014,9,38053,McKenzie,5842.7,9278.0,-3435.3,-37.0263,Bakken,-2.496133644694004,-5.4521691823899365,12.649214870656765
2010,m2026,2019,9,38053,McKenzie,6689.9,13594.0,-6904.1,-50.7878,Bakken,-3.584066780522337,-5.4521691823899365,12.649214870656765
2010,m2026,2020,10,38079,Rolette,13605.7,12194.0,1411.7,11.5773,Reservation,2.1363035289513075,-11.452940566037736,10.780415916526184
2005,m2026,2015,10,38041,Hettinger,2927.5,2627.0,300.5,11.4375,Rural,2.1233355691729017,-11.452940566037736,10.780415916526184
2005,m2026,2015,10,38105,Williams,19915.5,32106.0,-12190.5,-37.9697,Bakken,-2.45971580681897,-11.452940566037736,10.780415916526184
2010,m2026,2020,10,38105,Williams,23624.2,40951.0,-17326.8,-42.3111,Bakken,-2.862427542026209,-11.452940566037736,10.780415916526184
2005,m2026,2015,10,38053,McKenzie,5884.9,10979.0,-5094.1,-46.3989,Bakken,-3.24161513846518,-11.452940566037736,10.780415916526184
2010,m2026,2020,10,38053,McKenzie,6728.1,14707.0,-7978.9,-54.2523,Bakken,-3.9701028017250812,-11.452940566037736,10.780415916526184
2005,m2026,2016,11,38041,Hettinger,3033.2,2657.0,376.2,14.16,Rural,2.2484773698089766,-12.075883018867923,11.668288669988634
2010,m2026,2021,11,38079,Rolette,13554.7,12074.0,1480.7,12.2635,Reservation,2.0859428239438333,-12.075883018867923,11.668288669988634
2010,m2026,2021,11,38105,Williams,23718.2,38506.0,-14787.8,-38.4038,Bakken,-2.2563648985518046,-12.075883018867923,11.668288669988634
2005,m2026,2016,11,38105,Williams,19927.0,35301.0,-15374.0,-43.5511,Bakken,-2.697500710801555,-12.075883018867923,11.668288669988634
2010,m2026,2021,11,38053,McKenzie,6766.9,13855.0,-7088.1,-51.1594,Bakken,-3.3495500571267707,-12.075883018867923,11.668288669988634
2005,m2026,2016,11,38053,McKenzie,5931.2,12794.0,-6862.8,-53.6406,Bakken,-3.5621947790885917,-12.075883018867923,11.668288669988634
2005,m2026,2017,12,38041,Hettinger,3154.5,2597.0,557.5,21.4682,Rural,2.8391881154587124,-12.372645283018867,11.9191979914129
2010,m2026,2022,12,38079,Rolette,13501.4,11889.0,1612.4,13.5623,Reservation,2.1758968432023287,-12.372645283018867,11.9191979914129
2010,m2026,2022,12,38105,Williams,23807.1,38012.0,-14204.9,-37.3696,Bakken,-2.097201064617771,-12.372645283018867,11.9191979914129
2005,m2026,2017,12,38105,Williams,19936.2,34213.0,-14276.8,-41.7291,Bakken,-2.462955539301451,-12.372645283018867,11.9191979914129
2010,m2026,2022,12,38053,McKenzie,6806.0,13905.0,-7099.0,-51.0537,Bakken,-3.2452732763436445,-12.372645283018867,11.9191979914129
2005,m2026,2017,12,38053,McKenzie,5981.3,12572.0,-6590.7,-52.4238,Bakken,-3.3602222855795914,-12.372645283018867,11.9191979914129
2005,m2026,2018,13,38041,Hettinger,3291.9,2479.0,812.9,32.7905,Rural,3.666549783243442,-12.726574528301887,12.414143327964672
2010,m2026,2023,13,38079,Rolette,13446.0,11766.0,1680.0,14.278,Reservation,2.175307132749961,-12.726574528301887,12.414143327964672
2010,m2026,2023,13,38105,Williams,23890.3,39304.0,-15413.7,-39.2166,Bakken,-2.133858517004992,-12.726574528301887,12.414143327964672
2005,m2026,2018,13,38105,Williams,19942.4,33467.0,-13524.6,-40.4117,Bakken,-2.2301277454508943,-12.726574528301887,12.414143327964672
2010,m2026,2023,13,38053,McKenzie,6845.3,14282.0,-7436.7,-52.0703,Bakken,-3.1692662499772033,-12.726574528301887,12.414143327964672
2005,m2026,2018,13,38053,McKenzie,6034.6,12688.0,-6653.4,-52.4387,Bakken,-3.198942079413627,-12.726574528301887,12.414143327964672
2005,m2026,2019,14,38041,Hettinger,3445.8,2503.0,942.8,37.6661,Rural,3.8950465271346086,-13.271603773584905,13.07755977206702
2010,m2026,2024,14,38079,Rolette,13388.3,11692.0,1696.3,14.5082,Reservation,2.124234509936717,-13.271603773584905,13.07755977206702
2010,m2026,2024,14,38087,Slope,749.8,660.0,89.8,13.6089,Rural,2.0554678580785577,-13.271603773584905,13.07755977206702
2010,m2026,2024,14,38105,Williams,23967.9,40763.0,-16795.1,-41.2019,Bakken,-2.1357421960381893,-13.271603773584905,13.07755977206702
2005,m2026,2019,14,38105,Williams,19945.0,35469.0,-15524.0,-43.7679,Bakken,-2.3319561720951625,-13.271603773584905,13.07755977206702
2010,m2026,2024,14,38053,McKenzie,6884.8,14782.0,-7897.2,-53.4247,Bakken,-3.070381395784556,-13.271603773584905,13.07755977206702
2005,m2026,2019,14,38053,McKenzie,6090.6,13594.0,-7503.4,-55.1961,Bakken,-3.2058348007679243,-13.271603773584905,13.07755977206702
2005,m2026,2020,15,38041,Hettinger,3616.8,2484.0,1132.8,45.6023,Rural,4.018989028115814,-15.573218867924528,15.22161878023461
