county_fips,county_name,method,category,mape,mean_signed_error,median_abs_error,std_error,worst_case_error,worst_case_abs_error,n_validations,bias_direction,grade
38021,Dickey,sdc_2024,Rural,4.12,-3.95,2.72,3.95,-14.91,14.91,46,under,B
38073,Ransom,sdc_2024,Rural,4.67,-4.19,1.97,5.29,-16.2,16.2,46,under,B
38075,Renville,sdc_2024,Rural,4.68,-0.54,3.48,6.07,13.92,13.92,46,under,B
38003,Barnes,sdc_2024,Rural,4.92,-4.6,3.16,5.22,-17.84,17.84,46,under,B
38091,Steele,sdc_2024,Rural,5.29,-4.86,3.35,5.0,-15.54,15.54,46,under,B
38027,Eddy,sdc_2024,Rural,5.44,-4.96,4.59,5.18,-17.46,17.46,46,under,B
38039,Griggs,sdc_2024,Rural,5.47,-5.42,6.02,4.58,-14.94,14.94,46,under,B
38087,Slope,sdc_2024,Rural,5.55,-0.29,4.74,7.47,21.39,21.39,46,under,B
38001,Adams,sdc_2024,Rural,5.62,-3.32,5.16,6.47,-14.55,14.55,46,under,B
38093,Stutsman,sdc_2024,Rural,5.69,-5.69,4.54,5.04,-18.19,18.19,46,under,B
38005,Benson,sdc_2024,Reservation,5.73,0.36,5.49,7.32,16.6,16.6,46,over,B
38067,Pembina,sdc_2024,Rural,5.79,-5.76,5.17,4.72,-17.18,17.18,46,under,B
38015,Burleigh,sdc_2024,Urban/College,5.84,-5.8,4.81,4.9,-16.15,16.15,46,under,B
38099,Walsh,sdc_2024,Rural,5.84,-5.84,4.8,4.8,-16.34,16.34,46,under,B
38069,Pierce,sdc_2024,Rural,6.28,-4.02,4.78,7.01,-16.57,16.57,46,under,B
38031,Foster,sdc_2024,Rural,6.37,-6.21,6.08,5.61,-17.66,17.66,46,under,B
38045,LaMoure,sdc_2024,Rural,6.41,-6.28,5.11,5.32,-17.1,17.1,46,under,B
38063,Nelson,sdc_2024,Rural,6.59,-6.32,4.64,5.68,-18.15,18.15,46,under,B
38085,Sioux,sdc_2024,Reservation,6.93,0.43,5.63,9.11,22.78,22.78,46,over,B
38037,Grant,sdc_2024,Rural,7.4,-7.27,4.77,6.25,-20.49,20.49,46,under,C
38077,Richland,sdc_2024,Rural,7.45,-7.31,6.55,6.08,-21.35,21.35,46,under,C
38009,Bottineau,sdc_2024,Rural,7.67,-6.6,7.79,7.12,-20.53,20.53,46,under,C
38019,Cavalier,sdc_2024,Rural,7.71,-7.43,5.42,6.56,-21.66,21.66,46,under,C
38043,Kidder,sdc_2024,Rural,7.75,-7.72,5.62,7.25,-24.04,24.04,46,under,C
38081,Sargent,sdc_2024,Rural,7.79,-7.7,6.75,6.89,-19.0,19.0,46,under,C
38079,Rolette,sdc_2024,Reservation,8.09,1.21,6.08,10.69,26.02,26.02,46,over,C
38059,Morton,sdc_2024,Rural,8.18,-7.93,6.02,7.49,-24.43,24.43,46,under,C
38071,Ramsey,sdc_2024,Rural,8.33,-8.33,5.76,8.09,-26.64,26.64,46,under,C
38065,Oliver,sdc_2024,Rural,8.44,-8.4,6.11,6.89,-23.95,23.95,46,under,C
38103,Wells,sdc_2024,Rural,8.63,-8.49,6.91,8.06,-26.42,26.42,46,under,C
38011,Bowman,sdc_2024,Rural,9.05,-4.2,6.4,10.85,-21.34,21.34,46,under,C
38055,McLean,sdc_2024,Rural,9.78,-9.72,8.52,9.16,-29.45,29.45,46,under,C
38017,Cass,sdc_2024,Urban/College,10.05,-10.03,8.49,7.1,-26.57,26.57,46,under,C
38049,McHenry,sdc_2024,Rural,10.81,-6.26,10.55,11.72,-22.95,22.95,46,under,C
38083,Sheridan,sdc_2024,Rural,10.82,-10.72,6.9,8.85,-28.54,28.54,46,under,C
38047,Logan,sdc_2024,Rural,11.23,-11.22,8.04,10.33,-36.72,36.72,46,under,C
38013,Burke,sdc_2024,Rural,11.43,-6.18,13.5,11.58,-21.48,21.48,46,under,C
38029,Emmons,sdc_2024,Rural,12.05,-12.05,8.89,10.23,-36.09,36.09,46,under,C
38095,Towner,sdc_2024,Rural,12.23,-11.71,10.71,11.73,-35.59,35.59,46,under,C
38061,Mountrail,sdc_2024,Bakken,12.75,-8.89,12.2,12.35,-28.57,28.57,46,under,C
38101,Ward,sdc_2024,Urban/College,12.94,-12.24,12.82,11.82,-34.06,34.06,46,under,C
38023,Divide,sdc_2024,Rural,13.16,-6.42,12.3,14.77,30.01,30.01,46,under,C
38041,Hettinger,sdc_2024,Rural,13.22,12.34,7.59,15.81,60.67,60.67,46,over,C
38035,Grand Forks,sdc_2024,Urban/College,13.71,-13.7,12.38,9.55,-34.42,34.42,46,under,C
38089,Stark,sdc_2024,Bakken,13.86,-12.93,11.57,12.18,-32.4,32.4,46,under,C
38025,Dunn,sdc_2024,Bakken,14.34,-10.69,14.39,13.55,-31.73,31.73,46,under,C
38033,Golden Valley,sdc_2024,Rural,15.85,-13.79,13.53,15.08,-44.25,44.25,46,under,D
38007,Billings,sdc_2024,Rural,17.22,-17.08,16.83,12.48,-42.88,42.88,46,under,D
38105,Williams,sdc_2024,Bakken,22.92,-21.22,20.09,18.75,-50.46,50.46,46,under,D
38053,McKenzie,sdc_2024,Bakken,29.5,-27.9,23.17,23.39,-59.03,59.03,46,under,D
