origin_year,method,validation_year,horizon,projected_state,actual_state,error,pct_error,abs_pct_error
2015,sdc_2024,2022,7,755427.0,781057.0,-25630.0,-3.2815,3.2815
2015,m2026,2022,7,764433.0,781057.0,-16624.0,-2.1284,2.1284
2015,sdc_2024,2023,8,758542.0,789047.0,-30505.0,-3.866,3.866
2015,m2026,2023,8,767559.0,789047.0,-21488.0,-2.7233,2.7233
2015,sdc_2024,2024,9,761658.0,796568.0,-34910.0,-4.3826,4.3826
2015,m2026,2024,9,770629.0,796568.0,-25939.0,-3.2564,3.2564
2020,sdc_2024,2021,1,782275.0,777966.0,4309.0,0.5538,0.5538
2020,m2026,2021,1,782616.0,777966.0,4650.0,0.5977,0.5977
2020,sdc_2024,2022,2,785503.0,781057.0,4446.0,0.5693,0.5693
2020,m2026,2022,2,786336.0,781057.0,5279.0,0.6758,0.6758
2020,sdc_2024,2023,3,788732.0,789047.0,-315.0,-0.0399,0.0399
2020,m2026,2023,3,790153.0,789047.0,1106.0,0.1401,0.1401
2020,sdc_2024,2024,4,791961.0,796568.0,-4607.0,-0.5784,0.5784
2020,m2026,2024,4,794025.0,796568.0,-2543.0,-0.3193,0.3193
