method,parameter,perturbation_level,origin_year,state_pct_error,county_mape,projected_state,actual_state
m2026,fertility_rate,+10%,2020,0.1936,2.7789,798110.0,796568.0
m2026,fertility_rate,+25%,2015,-0.4646,10.4654,792867.0,796568.0
m2026,fertility_rate,+25%,2020,0.9629,2.8346,804238.0,796568.0
m2026,survival_rate,-5% q (fewer deaths),2015,-3.0066,9.7728,772618.0,796568.0
m2026,survival_rate,-5% q (fewer deaths),2020,-0.1861,2.779,795085.0,796568.0
m2026,survival_rate,-1% q (fewer deaths),2015,-3.2066,9.7254,771025.0,796568.0
m2026,survival_rate,-1% q (fewer deaths),2020,-0.2926,2.8149,794237.0,796568.0
m2026,survival_rate,baseline,2015,-3.2564,9.7147,770629.0,796568.0
m2026,survival_rate,baseline,2020,-0.3193,2.8245,794025.0,796568.0
m2026,survival_rate,+1% q (more deaths),2015,-3.3061,9.7054,770233.0,796568.0
m2026,survival_rate,+1% q (more deaths),2020,-0.346,2.834,793812.0,796568.0
m2026,survival_rate,+5% q (more deaths),2015,-3.5041,9.6685,768656.0,796568.0
m2026,survival_rate,+5% q (more deaths),2020,-0.4529,2.8794,792960.0,796568.0
m2026,mortality_improvement,0.0%,2015,-3.383,9.6905,769620.0,796568.0
m2026,mortality_improvement,0.0%,2020,-0.3511,2.8357,793771.0,796568.0
m2026,mortality_improvement,0.25%,2015,-3.3193,9.7027,770127.0,796568.0
m2026,mortality_improvement,0.25%,2020,-0.3352,2.8301,793898.0,796568.0
m2026,mortality_improvement,0.5% (baseline),2015,-3.2564,9.7147,770629.0,796568.0
m2026,mortality_improvement,0.5% (baseline),2020,-0.3193,2.8245,794025.0,796568.0
m2026,mortality_improvement,0.75%,2015,-3.194,9.7286,771125.0,796568.0
m2026,mortality_improvement,0.75%,2020,-0.3034,2.8189,794151.0,796568.0
m2026,mortality_improvement,1.0%,2015,-3.1323,9.7435,771617.0,796568.0
m2026,mortality_improvement,1.0%,2020,-0.2877,2.8133,794276.0,796568.0
m2026,convergence_schedule,all_recent,2015,-1.066,11.3138,788077.0,796568.0
m2026,convergence_schedule,all_recent,2020,-0.5243,3.4669,792391.0,796568.0
m2026,convergence_schedule,baseline (blended),2015,-3.2564,9.7147,770629.0,796568.0
m2026,convergence_schedule,baseline (blended),2020,-0.3193,2.8245,794025.0,796568.0
m2026,convergence_schedule,all_medium,2015,-4.1497,9.275,763513.0,796568.0
m2026,convergence_schedule,all_medium,2020,-0.0792,2.7225,795937.0,796568.0
m2026,convergence_schedule,all_longterm,2015,-6.8602,8.9203,741922.0,796568.0
m2026,convergence_schedule,all_longterm,2020,-1.6052,2.8916,783782.0,796568.0
