origin_year,method,validation_year,horizon,county_fips,county_name,projected,actual,error,pct_error
2005,m2026,2006,1,38025,Dunn,3378.1,3432.0,-53.9,-1.5701
2005,m2026,2006,1,38027,Eddy,2575.4,2529.0,46.4,1.8349
2005,m2026,2006,1,38029,Emmons,3724.8,3748.0,-23.2,-0.6193
2005,m2026,2006,1,38031,Foster,3521.1,3565.0,-43.9,-1.2307
2005,m2026,2006,1,38033,Golden Valley,1669.3,1670.0,-0.7,-0.0425
2005,m2026,2006,1,38035,Grand Forks,65161.9,67096.0,-1934.1,-2.8826
2005,m2026,2006,1,38037,Grant,2555.2,2519.0,36.2,1.4384
2005,m2026,2006,1,38039,Griggs,2471.1,2457.0,14.1,0.574
2005,m2026,2006,1,38041,Hettinger,2574.0,2577.0,-3.0,-0.1148
2005,m2026,2006,1,38043,Kidder,2451.9,2509.0,-57.1,-2.2746
2005,m2026,2006,1,38045,LaMoure,4387.6,4357.0,30.6,0.7031
2005,m2026,2006,1,38047,Logan,2025.5,2018.0,7.5,0.3731
2005,m2026,2006,1,38049,McHenry,5491.9,5507.0,-15.1,-0.2748
2005,m2026,2006,1,38051,McIntosh,3081.8,3080.0,1.8,0.0582
2005,m2026,2006,1,38053,McKenzie,5708.4,5727.0,-18.6,-0.3256
2005,m2026,2006,1,38055,McLean,8703.8,8767.0,-63.2,-0.7214
2005,m2026,2006,1,38057,Mercer,8322.8,8309.0,13.8,0.1662
2005,m2026,2006,1,38059,Morton,25579.9,25910.0,-330.1,-1.2741
2005,m2026,2006,1,38061,Mountrail,6873.2,6826.0,47.2,0.6918
2005,m2026,2006,1,38063,Nelson,3317.9,3271.0,46.9,1.4348
2005,m2026,2006,1,38065,Oliver,1883.1,1863.0,20.1,1.0807
2005,m2026,2006,1,38067,Pembina,7763.1,7786.0,-22.9,-0.2944
2005,m2026,2006,1,38069,Pierce,4335.1,4394.0,-58.9,-1.3415
2005,m2026,2006,1,38071,Ramsey,11171.9,11298.0,-126.1,-1.1161
2005,m2026,2006,1,38073,Ransom,5729.0,5720.0,9.0,0.1567
2005,m2026,2006,1,38075,Renville,2496.1,2499.0,-2.9,-0.1169
2005,m2026,2006,1,38077,Richland,17128.0,16869.0,259.0,1.5354
2005,m2026,2006,1,38079,Rolette,13600.1,13625.0,-24.9,-0.1827
2005,m2026,2006,1,38081,Sargent,4044.7,4115.0,-70.3,-1.7087
2005,m2026,2006,1,38083,Sheridan,1446.2,1435.0,11.2,0.7833
2005,m2026,2006,1,38085,Sioux,4074.2,4148.0,-73.8,-1.7782
2005,m2026,2006,1,38087,Slope,729.1,744.0,-14.9,-2.0083
2005,m2026,2006,1,38089,Stark,22624.7,22770.0,-145.3,-0.6379
2005,m2026,2006,1,38091,Steele,2047.7,2026.0,21.7,1.0693
2005,m2026,2006,1,38093,Stutsman,20930.0,21115.0,-185.0,-0.876
2005,m2026,2006,1,38095,Towner,2402.1,2408.0,-5.9,-0.2437
2005,m2026,2006,1,38097,Traill,8264.3,8249.0,15.3,0.1854
2005,m2026,2006,1,38099,Walsh,11456.0,11501.0,-45.0,-0.3916
2005,m2026,2006,1,38101,Ward,56897.7,58030.0,-1132.3,-1.9512
2005,m2026,2006,1,38103,Wells,4442.2,4404.0,38.2,0.8684
2005,m2026,2006,1,38105,Williams,19845.8,20122.0,-276.2,-1.3728
2005,sdc_2024,2007,2,38001,Adams,2330.8,2362.0,-31.2,-1.3216
2005,sdc_2024,2007,2,38003,Barnes,10909.3,11057.0,-147.7,-1.3361
2005,sdc_2024,2007,2,38005,Benson,6647.3,6683.0,-35.7,-0.5339
2005,sdc_2024,2007,2,38007,Billings,750.6,762.0,-11.4,-1.4939
2005,sdc_2024,2007,2,38009,Bottineau,6447.2,6428.0,19.2,0.2988
2005,sdc_2024,2007,2,38011,Bowman,2955.1,3050.0,-94.9,-3.112
2005,sdc_2024,2007,2,38013,Burke,1996.2,1933.0,63.2,3.2718
2005,sdc_2024,2007,2,38015,Burleigh,75658.5,77473.0,-1814.5,-2.3421
2005,sdc_2024,2007,2,38017,Cass,136439.5,141316.0,-4876.5,-3.4508
2005,sdc_2024,2007,2,38019,Cavalier,4176.7,4056.0,120.7,2.9751
2005,sdc_2024,2007,2,38021,Dickey,5356.5,5412.0,-55.5,-1.0258
2005,sdc_2024,2007,2,38023,Divide,2040.7,2041.0,-0.3,-0.0131
2005,sdc_2024,2007,2,38025,Dunn,3366.0,3429.0,-63.0,-1.8363
2005,sdc_2024,2007,2,38027,Eddy,2535.4,2503.0,32.4,1.2943
2005,sdc_2024,2007,2,38029,Emmons,3608.7,3640.0,-31.3,-0.8593
2005,sdc_2024,2007,2,38031,Foster,3474.7,3500.0,-25.3,-0.7239
2005,sdc_2024,2007,2,38033,Golden Valley,1620.1,1670.0,-49.9,-2.9874
2005,sdc_2024,2007,2,38035,Grand Forks,64181.7,66333.0,-2151.3,-3.2432
2005,sdc_2024,2007,2,38037,Grant,2499.9,2478.0,21.9,0.8831
2005,sdc_2024,2007,2,38039,Griggs,2426.0,2430.0,-4.0,-0.1645
2005,sdc_2024,2007,2,38041,Hettinger,2588.8,2524.0,64.8,2.5693
2005,sdc_2024,2007,2,38043,Kidder,2404.5,2450.0,-45.5,-1.8582
2005,sdc_2024,2007,2,38045,LaMoure,4322.8,4320.0,2.8,0.065
2005,sdc_2024,2007,2,38047,Logan,1971.4,2023.0,-51.6,-2.5502
2005,sdc_2024,2007,2,38049,McHenry,5397.6,5370.0,27.6,0.5131
2005,sdc_2024,2007,2,38051,McIntosh,3024.0,2966.0,58.0,1.9548
2005,sdc_2024,2007,2,38053,McKenzie,5717.8,5812.0,-94.2,-1.6202
2005,sdc_2024,2007,2,38055,McLean,8591.0,8811.0,-220.0,-2.4967
2005,sdc_2024,2007,2,38057,Mercer,8286.6,8351.0,-64.4,-0.7708
2005,sdc_2024,2007,2,38059,Morton,25594.6,26310.0,-715.4,-2.7192
2005,sdc_2024,2007,2,38061,Mountrail,6912.6,6991.0,-78.4,-1.1215
2005,sdc_2024,2007,2,38063,Nelson,3252.7,3222.0,30.7,0.953
2005,sdc_2024,2007,2,38065,Oliver,1856.3,1865.0,-8.7,-0.4691
2005,sdc_2024,2007,2,38067,Pembina,7616.4,7585.0,31.4,0.4136
2005,sdc_2024,2007,2,38069,Pierce,4273.5,4368.0,-94.5,-2.1627
2005,sdc_2024,2007,2,38071,Ramsey,10994.8,11320.0,-325.2,-2.8727
2005,sdc_2024,2007,2,38073,Ransom,5690.6,5766.0,-75.4,-1.3073
2005,sdc_2024,2007,2,38075,Renville,2479.6,2415.0,64.6,2.6754
2005,sdc_2024,2007,2,38077,Richland,16812.4,16659.0,153.4,0.921
2005,sdc_2024,2007,2,38079,Rolette,13499.7,13679.0,-179.3,-1.3111
2005,sdc_2024,2007,2,38081,Sargent,3971.9,4057.0,-85.1,-2.0988
2005,sdc_2024,2007,2,38083,Sheridan,1404.6,1406.0,-1.4,-0.103
2005,sdc_2024,2007,2,38085,Sioux,4058.5,4094.0,-35.5,-0.8671
2005,sdc_2024,2007,2,38087,Slope,730.0,711.0,19.0,2.6678
2005,sdc_2024,2007,2,38089,Stark,22682.0,23176.0,-494.0,-2.1315
2005,sdc_2024,2007,2,38091,Steele,2007.0,1985.0,22.0,1.1092
2005,sdc_2024,2007,2,38093,Stutsman,20719.8,20876.0,-156.2,-0.748
2005,sdc_2024,2007,2,38095,Towner,2323.9,2320.0,3.9,0.1689
2005,sdc_2024,2007,2,38097,Traill,8184.9,8318.0,-133.1,-1.6007
2005,sdc_2024,2007,2,38099,Walsh,11271.6,11355.0,-83.4,-0.7349
2005,sdc_2024,2007,2,38101,Ward,56468.5,58297.0,-1828.5,-3.1365
2005,sdc_2024,2007,2,38103,Wells,4330.9,4317.0,13.9,0.3227
2005,sdc_2024,2007,2,38105,Williams,19891.6,20547.0,-655.4,-3.1897
2005,m2026,2007,2,38001,Adams,2337.7,2362.0,-24.3,-1.0269
2005,m2026,2007,2,38003,Barnes,10917.9,11057.0,-139.1,-1.2576
2005,m2026,2007,2,38005,Benson,6662.8,6683.0,-20.2,-0.3028
2005,m2026,2007,2,38007,Billings,746.7,762.0,-15.3,-2.0063
2005,m2026,2007,2,38009,Bottineau,6474.3,6428.0,46.3,0.721
2005,m2026,2007,2,38011,Bowman,2959.4,3050.0,-90.6,-2.9692
2005,m2026,2007,2,38013,Burke,1993.0,1933.0,60.0,3.1051
2005,m2026,2007,2,38015,Burleigh,75141.4,77473.0,-2331.6,-3.0095
2005,m2026,2007,2,38017,Cass,134907.6,141316.0,-6408.4,-4.5348
2005,m2026,2007,2,38019,Cavalier,4191.1,4056.0,135.1,3.3312
2005,m2026,2007,2,38021,Dickey,5356.5,5412.0,-55.5,-1.0261
2005,m2026,2007,2,38023,Divide,2044.5,2041.0,3.5,0.1735
2005,m2026,2007,2,38025,Dunn,3335.4,3429.0,-93.6,-2.7296
2005,m2026,2007,2,38027,Eddy,2541.6,2503.0,38.6,1.5413
2005,m2026,2007,2,38029,Emmons,3623.5,3640.0,-16.5,-0.454
2005,m2026,2007,2,38031,Foster,3478.2,3500.0,-21.8,-0.6234
2005,m2026,2007,2,38033,Golden Valley,1629.8,1670.0,-40.2,-2.4064
2005,m2026,2007,2,38035,Grand Forks,63705.0,66333.0,-2628.0,-3.9618
2005,m2026,2007,2,38037,Grant,2511.7,2478.0,33.7,1.361
2005,m2026,2007,2,38039,Griggs,2425.4,2430.0,-4.6,-0.1886
2005,m2026,2007,2,38041,Hettinger,2568.9,2524.0,44.9,1.7796
2005,m2026,2007,2,38043,Kidder,2408.9,2450.0,-41.1,-1.6768
2005,m2026,2007,2,38045,LaMoure,4329.0,4320.0,9.0,0.2079
2005,m2026,2007,2,38047,Logan,1976.9,2023.0,-46.1,-2.2778
