category,horizon,method,origin_year,mean_signed_pct_error,median_signed_pct_error,std_pct_error,n_counties,n_obs
Reservation,15,m2026,all,2.2337666666666665,3.5695,2.5365315715230774,3,3
Reservation,15,sdc_2024,all,1.6749999999999998,2.9533,2.374857736791827,3,3
Reservation,16,m2026,all,4.3998,4.2388,1.831913838039333,3,3
Reservation,16,sdc_2024,all,3.8494333333333333,3.3733,1.915019901550199,3,3
Reservation,17,m2026,all,4.686066666666666,5.218,0.990805048096412,3,3
Reservation,17,sdc_2024,all,4.167666666666666,4.3693,1.0036571742050835,3,3
Reservation,18,m2026,all,4.867633333333333,4.951,0.8272066871908941,3,3
Reservation,18,sdc_2024,all,4.4021,4.8264,0.7479371430808874,3,3
Reservation,19,m2026,all,4.059633333333333,4.6979,1.965621007044169,3,3
Reservation,19,sdc_2024,all,3.6728333333333336,4.7053,1.9434095845532235,3,3
Rural,1,m2026,all,-0.2694829268292683,-0.30825,1.0281618410959725,41,164
Rural,1,sdc_2024,all,-0.35160426829268293,-0.4622,1.0613315298432149,41,164
Rural,2,m2026,all,-0.5112243902439024,-0.5553,2.052481978881811,41,164
Rural,2,sdc_2024,all,-0.7379414634146343,-0.7294,2.023234742783251,41,164
Rural,3,m2026,all,-0.8833957317073169,-0.843,3.701230380394427,41,164
Rural,3,sdc_2024,all,-1.3135426829268293,-1.12415,3.468748068656927,41,164
Rural,4,m2026,all,-1.2896731707317075,-1.51775,4.88363534055535,41,164
Rural,4,sdc_2024,all,-1.9754103658536586,-2.0291,4.4266199748282355,41,164
Rural,5,m2026,all,-1.8594699186991865,-2.786,6.647937465798671,41,123
Rural,5,sdc_2024,all,-3.329634959349593,-3.6939,5.802851486207531,41,123
Rural,6,m2026,all,-2.3435707317073167,-3.3737,7.757591301996289,41,123
Rural,6,sdc_2024,all,-3.9539813008130076,-4.8456,6.765022583636103,41,123
Rural,7,m2026,all,-2.7248406504065046,-4.193,8.665916601031821,41,123
Rural,7,sdc_2024,all,-4.516982113821139,-5.403,7.526600803195363,41,123
Rural,8,m2026,all,-3.2457032520325204,-4.6948,9.671695291220606,41,123
Rural,8,sdc_2024,all,-5.258241463414634,-6.0853,8.34378497208047,41,123
Rural,9,m2026,all,-3.705670731707317,-4.8984,10.58306903311266,41,123
Rural,9,sdc_2024,all,-5.9695130081300825,-6.898,9.066795900969064,41,123
Rural,10,m2026,all,-8.904663414634147,-8.77525,7.136424066863023,41,82
Rural,10,sdc_2024,all,-10.273203658536586,-10.48475,7.155196322615589,41,82
Rural,11,m2026,all,-9.523137804878049,-10.0454,8.042235236252408,41,82
Rural,11,sdc_2024,all,-10.99375243902439,-11.5565,8.053926499267998,41,82
Rural,12,m2026,all,-9.957307317073171,-10.35515,8.829395363633525,41,82
Rural,12,sdc_2024,all,-11.556998780487804,-12.18815,8.779572266072174,41,82
Rural,13,m2026,all,-10.277701219512194,-11.17025,9.562689548312541,41,82
Rural,13,sdc_2024,all,-12.025087804878048,-13.0272,9.447737094485436,41,82
Rural,14,m2026,all,-10.713692682926828,-11.429549999999999,10.24401044605862,41,82
Rural,14,sdc_2024,all,-12.625057317073173,-12.89845,10.009333658178663,41,82
Rural,15,m2026,all,-12.753460975609755,-12.8604,12.380999730653377,41,41
Rural,15,sdc_2024,all,-14.841478048780488,-15.5853,11.524385947318672,41,41
Rural,16,m2026,all,-13.0470243902439,-14.2108,14.150209335726812,41,41
Rural,16,sdc_2024,all,-15.368868292682928,-15.764,12.848221463697593,41,41
