county_fips,age_group,sex,gq_population
38001,0-4,Female,0.375
38001,0-4,Male,0.375
38001,10-14,Female,0.375
38001,10-14,Male,0.375
38001,15-19,Female,0.6292372881355932
38001,15-19,Male,0.6292372881355932
38001,20-24,Female,0.5084745762711864
38001,20-24,Male,0.5084745762711864
38001,25-29,Female,0.5084745762711864
38001,25-29,Male,0.5084745762711864
38001,30-34,Female,0.5084745762711864
38001,30-34,Male,0.5084745762711864
38001,35-39,Female,0.3813559322033898
38001,35-39,Male,0.3813559322033898
38001,40-44,Female,0.2542372881355932
38001,40-44,Male,0.2542372881355932
38001,45-49,Female,0.2033898305084746
38001,45-49,Male,0.2033898305084746
38001,5-9,Female,0.375
38001,5-9,Male,0.375
38001,50-54,Female,0.15254237288135591
38001,50-54,Male,0.15254237288135591
38001,55-59,Female,0.1271186440677966
38001,55-59,Male,0.1271186440677966
38001,60-64,Female,0.1016949152542373
38001,60-64,Male,0.1016949152542373
38001,65-69,Female,1.3333333333333333
38001,65-69,Male,1.3333333333333333
38001,70-74,Female,2.6666666666666665
38001,70-74,Male,2.6666666666666665
38001,75-79,Female,5.333333333333333
38001,75-79,Male,5.333333333333333
38001,80-84,Female,8.0
38001,80-84,Male,8.0
38001,85+,Female,10.666666666666666
38001,85+,Male,10.666666666666666
38003,0-4,Female,0.75
38003,0-4,Male,0.75
38003,10-14,Female,0.75
38003,10-14,Male,0.75
38003,15-19,Female,43.72619047619048
38003,15-19,Male,43.72619047619048
38003,20-24,Female,71.62698412698413
38003,20-24,Male,71.62698412698413
38003,25-29,Female,28.65079365079365
38003,25-29,Male,28.65079365079365
38003,30-34,Female,14.325396825396824
38003,30-34,Male,14.325396825396824
38003,35-39,Female,7.162698412698412
38003,35-39,Male,7.162698412698412
38003,40-44,Female,4.2976190476190474
38003,40-44,Male,4.2976190476190474
38003,45-49,Female,2.8650793650793656
38003,45-49,Male,2.8650793650793656
38003,5-9,Female,0.75
38003,5-9,Male,0.75
38003,50-54,Female,2.8650793650793656
38003,50-54,Male,2.8650793650793656
38003,55-59,Female,2.8650793650793656
38003,55-59,Male,2.8650793650793656
38003,60-64,Female,2.8650793650793656
38003,60-64,Male,2.8650793650793656
38003,65-69,Female,3.142857142857143
38003,65-69,Male,3.142857142857143
38003,70-74,Female,6.285714285714286
38003,70-74,Male,6.285714285714286
38003,75-79,Female,12.571428571428571
38003,75-79,Male,12.571428571428571
38003,80-84,Female,18.857142857142858
38003,80-84,Male,18.857142857142858
38003,85+,Female,25.142857142857142
38003,85+,Male,25.142857142857142
