fips,age_group,sex,race,proportion
38001,40-44,male,aian_nonhispanic,0.0011960729027528096
38001,40-44,female,aian_nonhispanic,0.0009917659258217753
38001,40-44,male,asian_nonhispanic,0.0013940883891896236
38001,40-44,female,asian_nonhispanic,0.000820648080264334
38001,40-44,male,multiracial_nonhispanic,0.0002835426479597473
38001,40-44,female,multiracial_nonhispanic,0.00047923567102871323
38001,40-44,male,hispanic,0.0013133535366723244
38001,40-44,female,hispanic,0.0013695132116780992
38001,45-49,male,white_nonhispanic,0.020439647085998935
38001,45-49,female,white_nonhispanic,0.019575992758935835
38001,45-49,male,black_nonhispanic,0.0018740418897068424
38001,45-49,female,black_nonhispanic,0.0003991131956091633
38001,45-49,male,aian_nonhispanic,0.000640303903747075
38001,45-49,female,aian_nonhispanic,0.0007135225115746552
38001,45-49,male,asian_nonhispanic,0.0005847566058390496
38001,45-49,female,asian_nonhispanic,0.00046874265599421513
38001,45-49,male,multiracial_nonhispanic,0.0010124775285976842
38001,45-49,female,multiracial_nonhispanic,0.0003679721003103313
38001,45-49,male,hispanic,0.0009408000321378715
38001,45-49,female,hispanic,0.0005950806459712165
38001,50-54,male,white_nonhispanic,0.02065793077301624
38001,50-54,female,white_nonhispanic,0.02161707801468299
38001,50-54,male,black_nonhispanic,0.0004536682367355957
38001,50-54,female,black_nonhispanic,0.00040342017254019744
38001,50-54,male,aian_nonhispanic,0.0006230759960229383
38001,50-54,female,aian_nonhispanic,0.000651789175563166
38001,50-54,male,asian_nonhispanic,0.00027636435307469044
38001,50-54,female,asian_nonhispanic,0.00025626512739653114
38001,50-54,male,multiracial_nonhispanic,0.0001414124092356208
38001,50-54,female,multiracial_nonhispanic,0.0003557689990057346
38001,50-54,male,hispanic,0.0011347829689367385
38001,50-54,female,hispanic,0.0006601287021321469
38001,55-59,male,white_nonhispanic,0.024038380401924256
38001,55-59,female,white_nonhispanic,0.022427233079912828
38001,55-59,male,black_nonhispanic,0.0005340651394482329
