window,variant_id,place_fips,place_name,county_fips,tier,MAPE,MedAPE,mean_error_pct,MaxAPE,AE_terminal,flag,tier_boundary,multi_county_primary
primary,B-II,3804020,Ayr city,38017,EXCLUDED,315.7421428571429,100.0,155.7421428571429,1187.814285714286,12.0,,False,False
primary,B-II,3801420,Alice city,38017,EXCLUDED,145.2812762336926,100.0,-14.718723766307415,333.52439024390253,44.0,,False,False
primary,B-II,3869140,Ruso city,38055,EXCLUDED,127.9966666666667,100.0,-12.003333333333313,221.43333333333342,5.0,,False,False
primary,B-II,3864320,Prairie Rose city,38017,EXCLUDED,126.30351851851853,100.0,-33.69648148148146,233.87777777777785,54.0,,False,False
primary,B-II,3858120,North River city,38017,EXCLUDED,122.81385964912283,100.0,-37.18614035087718,216.3052631578948,56.0,,False,False
primary,B-II,3809320,Briarwood city,38017,EXCLUDED,120.18247175141244,100.0,-39.817528248587564,205.58305084745768,54.0,,False,False
primary,B-II,3865980,Regan city,38015,EXCLUDED,115.7885042735043,100.0,-24.211495726495706,164.65555555555562,33.0,,False,False
primary,B-II,3811580,Calio city,38019,EXCLUDED,104.29616514458272,122.71749188886687,104.29616514458272,155.80613393573165,7.1575595811506485,,False,False
primary,B-II,3882940,Wales city,38019,EXCLUDED,101.90972437069189,122.79828012118357,101.90972437069189,141.78033237223215,10.936150941301115,,False,False
primary,B-II,3814140,Churchs Ferry city,38071,EXCLUDED,100.0,100.0,-100.0,100.0,,,False,False
primary,B-II,3819900,Donnybrook city,38101,EXCLUDED,100.0,100.0,-100.0,100.0,73.0,,False,False
primary,B-II,3839980,Inkster city,38035,EXCLUDED,100.0,100.0,-100.0,100.0,37.0,,False,False
primary,B-II,3862540,Pillsbury city,38003,EXCLUDED,100.0,100.0,-100.0,100.0,12.0,,False,False
primary,B-II,3801940,Amenia city,38017,EXCLUDED,99.79017039140635,100.0,-60.209829608593644,102.57752808988769,87.0,,False,False
primary,B-II,3802860,Ardoch city,38099,EXCLUDED,91.86727928338435,110.63475408797427,91.86727928338435,136.27644035041567,43.60846091213301,,False,False
primary,B-II,3874780,Springbrook city,38105,EXCLUDED,91.26908282453208,100.0,-88.73091717546792,100.0,35.0,,False,False
primary,B-II,3829220,Gardner city,38017,EXCLUDED,90.10104154889768,100.0,-69.89895845110232,100.0,125.0,,False,False
primary,B-II,3856780,Niagara city,38035,EXCLUDED,84.9740997918594,100.0,-55.025900208140605,100.0,42.0,,False,False
primary,B-II,3803020,Argusville city,38017,EXCLUDED,63.31836337512442,59.090250892090594,63.31836337512442,111.78252388161938,533.2026389153244,,True,False
primary,B-II,3806180,Bergen city,38049,EXCLUDED,63.30091990004662,49.568033347184866,-63.30091990004662,100.0,11.0,,False,False
primary,B-II,3832300,Grandin city,38017,EXCLUDED,60.209406700349824,100.0,-60.06486733375482,100.0,195.0,,False,True
primary,B-II,3804460,Balfour city,38049,EXCLUDED,50.0759059559997,54.544463166495966,50.0759059559997,76.06204284388376,11.409306426582564,,False,False
primary,B-II,3868540,Ross city,38061,EXCLUDED,45.092745281283875,47.39187406459307,45.092745281283875,58.8746453788961,51.80968793342856,,False,False
primary,B-II,3813020,Cayuga city,38081,EXCLUDED,43.904162607494946,46.66214416491706,-43.904162607494946,58.379627890023365,22.768054877109112,,False,False
primary,B-II,3853820,Monango city,38021,EXCLUDED,42.30503116200631,40.83194454166745,42.30503116200631,77.1271234844691,23.138137045340727,,False,False
primary,B-II,3810420,Buffalo city,38017,EXCLUDED,40.409807449563466,1.7722958203903734,-40.299110878592685,100.0,189.0,,False,False
primary,B-II,3848020,Loraine city,38075,EXCLUDED,36.32679014031353,37.0521034466845,-36.32679014031353,53.631484224139584,4.826833580172562,,False,False
primary,B-II,3810300,Bucyrus city,38001,EXCLUDED,36.02152824379035,40.90718760757964,36.02152824379035,47.297992146549866,6.251343195393108,,False,False
primary,B-II,3836540,Haynes city,38001,EXCLUDED,35.594415903697524,37.22544526276282,35.594415903697524,56.97085292254928,8.63671821717606,,False,False
primary,B-II,3843260,Knox city,38005,EXCLUDED,35.5759091708011,36.133088518037326,-35.5759091708011,55.57852420817054,11.671490083715815,,False,False
primary,B-II,3812820,Cathay city,38103,EXCLUDED,34.47511808571045,38.5659540145293,34.47511808571045,58.00469072071912,8.994588777326737,,False,False
primary,B-II,3881700,Venturia city,38051,EXCLUDED,33.984460840371256,36.54519813978639,-33.984460840371256,39.20166477960586,7.840332955921172,,False,False
primary,B-II,3815820,Conway city,38099,EXCLUDED,32.29285194908418,32.1762978134742,32.29285194908418,48.58824065555339,4.294187146384559,,False,False
primary,B-II,3801860,Ambrose city,38023,EXCLUDED,32.04216420464816,34.07790222151907,32.04216420464816,43.001006358740405,6.450150953811061,,False,False
primary,B-II,3824540,Epping city,38105,EXCLUDED,31.915019990733832,34.029068233611184,31.915019990733832,39.56485653761993,19.28401646832343,,False,False
primary,B-II,3855740,Nekoma city,38019,EXCLUDED,31.320372000601814,38.01664604992418,31.320372000601814,43.03253321880739,12.328294744868856,,False,False
primary,B-II,3827820,Fortuna city,38023,EXCLUDED,30.735313525969445,33.280418319429295,-30.735313525969445,43.85543238645725,13.156629715937175,,False,False
primary,B-II,3828720,Frontier city,38017,EXCLUDED,30.700767148660844,1.73545584145154,-30.47088334752376,100.0,196.0,,False,False
primary,B-II,3845460,Leal city,38003,EXCLUDED,29.82641519698641,32.49451350813421,-29.82641519698641,42.9487181153162,10.73717952882905,,False,False
primary,B-II,3870780,Sarles city,38019,EXCLUDED,29.312584983377867,25.14818142306266,29.312584983377867,47.764377193357824,5.245120720194528,,False,True
primary,B-II,3831420,Golva city,38033,EXCLUDED,28.351671791618276,29.527850716820346,-28.351671791618276,40.79084387218012,36.303851046240304,,False,False
primary,B-II,3801700,Almont city,38059,EXCLUDED,28.17564800395608,30.84422166575981,28.17564800395608,37.98971986295286,34.62987764659988,,False,False
primary,B-II,3832900,Great Bend city,38077,EXCLUDED,27.518490288831003,27.516010591262834,-27.518490288831003,42.16520013621698,23.19086007491934,,False,False
primary,B-II,3804740,Bantry city,38049,EXCLUDED,27.43107333546568,25.550960967847814,27.43107333546568,46.77971380118408,,,False,False
primary,B-II,3831500,Goodrich city,38083,EXCLUDED,27.0398902784299,28.51528212919034,-27.0398902784299,38.11349053709658,41.1625697800643,,False,False
primary,B-II,3829540,Gascoyne city,38011,EXCLUDED,26.163000797894927,30.324158307244748,-26.163000797894927,36.774193406355444,7.354838681271088,,False,False
primary,B-II,3809700,Brocket city,38071,EXCLUDED,25.912956038051124,27.776741416994845,25.912956038051124,36.054709712640964,9.325451251447298,,False,False
primary,B-II,3833500,Grenora city,38105,EXCLUDED,25.81532189187077,26.09342638771861,25.81532189187077,34.449184918198256,43.688750461293125,,False,False
primary,B-II,3822540,Egeland city,38095,EXCLUDED,25.4481944415413,26.449042634678896,-25.4481944415413,36.15882974208377,11.570825517466805,,False,False
primary,B-II,3818340,Dazey city,38003,EXCLUDED,25.435604162552938,28.362939770461583,25.435604162552938,39.43565106281228,29.182381786481088,,False,False
primary,B-II,3801180,Alexander city,38053,EXCLUDED,25.272427312757905,26.278311778889808,25.272427312757905,38.38821565837712,41.36369211549186,,False,False
primary,B-II,3844700,Landa city,38009,EXCLUDED,24.779314945842536,24.43413048463411,24.779314945842536,42.665243482614706,16.21279252339359,,False,False
primary,B-II,3856020,Newburg city,38009,EXCLUDED,23.20146133502168,24.19879066083169,23.20146133502168,35.13652776264638,33.0283360968876,,False,False
primary,B-II,3887180,Wolford city,38069,EXCLUDED,23.029415079356248,25.551290015399445,-23.029415079356248,30.17889040845811,12.373345067467824,,False,False
primary,B-II,3810060,Buchanan city,38093,EXCLUDED,22.940245961167093,25.474754755600134,22.940245961167093,40.274834662749115,34.23360946333675,,False,False
primary,B-II,3824780,Esmond city,38005,EXCLUDED,22.748194364313292,22.868171966659133,-22.748194364313292,37.018839931419855,32.576579139649475,,False,False
primary,B-II,3842660,Kief city,38049,EXCLUDED,22.70324369708682,27.247570804466,22.70324369708682,34.363438498220525,2.1318087600281093,,False,False
primary,B-II,3832580,Grano city,38075,EXCLUDED,22.600641713396346,22.816119846008554,-22.600641713396346,28.381241068480545,1.9341265963764371,,False,False
primary,B-II,3851900,Medora city,38007,EXCLUDED,22.44834945336696,18.088334684324465,22.44834945336696,41.89722959407206,29.65388426618847,,False,False
primary,B-II,3801740,Alsen city,38019,EXCLUDED,22.410889167364427,21.61154713402294,-22.410889167364427,36.87473306561333,11.062419919683997,,False,False
primary,B-II,3845860,Leith city,38037,EXCLUDED,22.3745798488909,22.595379433929118,-22.3745798488909,26.0324174195108,5.570134606168157,,False,False
primary,B-II,3851380,Max city,38055,EXCLUDED,21.917571388999658,22.482729331140014,21.917571388999658,35.4041372219549,115.06344597135342,,False,False
primary,B-II,3846540,Lignite city,38013,EXCLUDED,21.773796883152514,25.772496118590063,19.81895918220405,36.45593137090521,48.850948037012984,,False,False
primary,B-II,3828780,Fullerton city,38021,EXCLUDED,20.82980927165542,22.016755655497878,-20.82980927165542,28.146161934172714,16.043312302478448,,False,False
primary,B-II,3863740,Portal city,38013,EXCLUDED,19.761559206039713,21.05819988248333,19.761559206039713,29.399106207859138,35.27892744943097,,False,False
primary,B-II,3839460,Hunter city,38017,EXCLUDED,19.09013636782782,21.715768155831046,-19.09013636782782,24.499057885855496,80.84689102332314,,False,False
primary,B-II,3828980,Galesburg city,38097,EXCLUDED,19.010677954175794,20.49571053194724,-19.010677954175794,26.40392489944019,29.836435136367413,,False,False
primary,B-II,3867500,Rocklake city,38095,EXCLUDED,18.90560928555081,18.544799554453938,-18.90560928555081,28.573654919373183,25.430552878242132,,False,False
primary,B-II,3800940,Alamo city,38105,EXCLUDED,18.900725288072152,19.923211273205467,18.900725288072152,26.283838786136677,5.063946817359287,,False,False
primary,B-II,3834460,Hamberg city,38103,EXCLUDED,18.872249529997273,17.03669333980735,18.872249529997273,31.39985054046625,1.4390561540492186,,False,False
primary,B-II,3816580,Crary city,38071,EXCLUDED,18.68648996243993,21.88285857345126,18.68648996243993,24.16928496715894,26.175726771658475,,False,False
primary,B-II,3800340,Adams city,38099,EXCLUDED,18.66390365880894,18.876099000103522,-18.66390365880894,27.672018129512182,33.75986211800486,,False,False
primary,B-II,3839580,Hurdsfield city,38103,EXCLUDED,18.581477273031197,20.592404529095795,18.581477273031197,28.60527690946372,16.877113376583594,,False,False
primary,B-II,3835140,Hansboro city,38095,EXCLUDED,18.15681476263017,14.221883082662913,18.13049561551518,44.75180494252131,6.712770741378197,,False,False
primary,B-II,3845300,Lawton city,38071,EXCLUDED,18.15555540214873,16.807918402676876,18.15555540214873,33.990856051077714,2.187176262072885,,False,False
primary,B-II,3847660,Loma city,38019,EXCLUDED,18.068854667185416,16.012786536773284,18.068854667185416,41.06770239520587,0.4151694228118963,,False,False
primary,B-II,3841380,Karlsruhe city,38049,EXCLUDED,17.852336634153097,18.093464540860857,-17.852336634153097,28.75739123412022,24.156208636660985,,False,False
primary,B-II,3861860,Petersburg city,38063,EXCLUDED,17.820659778504755,18.7319256380015,17.820659778504755,29.812360860533598,47.40165376824842,,False,False
primary,B-II,3888180,Zeeland city,38051,EXCLUDED,17.740241903974074,18.57230956058053,-17.740241903974074,25.929727164713494,21.00307900341793,,False,False
primary,B-II,3860500,Page city,38017,EXCLUDED,17.415215391462304,19.186686279478526,17.415215391462304,23.338156768390895,43.596957938002646,,False,False
primary,B-II,3849620,Maddock city,38005,EXCLUDED,16.981763010998673,17.75930935665432,-16.981763010998673,27.924385872615666,107.78812946829646,,False,False
