confidence_tier,place_count,tier_medape,tier_mean_me,tier_p90_mape,tier_max_mape,tier_population_2024,window,variant_id,tier_medape_threshold,tier_p90_mape_threshold,abs_tier_mean_me_threshold,abs_tier_mean_me,tier_medape_pass,tier_p90_mape_pass,abs_tier_mean_me_pass,scored_tier,tier_pass,evaluation_status
HIGH,9,5.7660164168123895,5.263532048932305,8.085342417479229,12.23863146331614,457462.0,secondary,B-II,10.0,20.0,5.0,5.263532048932305,True,True,False,True,False,FAIL
MODERATE,9,3.7228081288843784,-1.5264852890783982,14.64604765521175,30.33493751562428,48813.0,secondary,B-II,15.0,30.0,8.0,1.5264852890783982,True,True,True,True,True,PASS
LOWER,72,2.843838099870311,0.1748739234645231,9.979267659509425,16.348019690747893,80163.0,secondary,B-II,25.0,45.0,12.0,0.1748739234645231,True,True,True,True,True,PASS
EXCLUDED,265,6.317718426901068,-7.8708511744890375,21.515207474057696,100.0,36313.0,secondary,B-II,,,,7.8708511744890375,True,True,True,False,True,INFORMATIONAL
